Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,kloudbean.com,heroku.com,kloudbean.com (pages),heroku.com (pages),Results
caesar cipher encoder,"Commercial, Informational",2400,59,0.00,0.33,16,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,117
certificate decoder,"Commercial, Informational",2400,31,8.62,0.03,30,0,https://www.kloudbean.com/ssl-certificate-decoder/,,92
cloudconvert svg to png,Transactional,2400,58,0.00,0.33,36,0,https://www.kloudbean.com/svg-to-png-converter/,,95
css grid generator,Informational,2400,35,6.66,0.33,13,0,https://www.kloudbean.com/css-grid-generator/,,104
current node version,Informational,2400,90,2.68,0.33,0,29,,https://devcenter.heroku.com/changelog-items/3047,109
decryption,Informational,2400,30,3.53,0.33,18,0,https://www.kloudbean.com/encryption-decryption-tool/,,135
git push -u,Informational,2400,19,0.65,0.33,0,43,,https://devcenter.heroku.com/articles/git,37400000
github student pack,Navigational,2400,85,5.13,0.03,0,12,,https://www.heroku.com/github-students/,0
heroku news,Informational,2400,56,0.00,0.33,0,1,,https://www.heroku.com/blog/category/news/,108
json to json schema,Informational,2400,40,4.69,0.33,17,0,https://www.kloudbean.com/json-schema-generator/,,83
postgress,Navigational,2400,94,4.90,0.27,0,7,,https://www.heroku.com/postgres/,100
python 3.10.11,Informational,2400,37,0.00,0.33,0,18,,https://devcenter.heroku.com/changelog-items/2567,107
regex creator,Commercial,2400,47,8.96,0.01,47,0,https://www.kloudbean.com/regex-pattern-generator/,,96
rgb color in hex,"Informational, Transactional",2400,71,3.46,0.01,45,0,https://www.kloudbean.com/rgb-to-hex-converter/,,111
rox.com customer success stories,Informational,2400,7,0.00,0.00,0,38,,https://www.heroku.com/case-studies/,97
splash screen,Informational,2400,37,2.08,0.01,30,0,https://www.kloudbean.com/splash-screen-generator/,,133
sumologic,Navigational,2400,64,24.00,0.21,0,6,,https://elements.heroku.com/addons/sumologic,0
upcloud,"Informational, Transactional",2400,47,6.99,0.37,32,0,https://www.kloudbean.com/upcloud-managed-cloud-hosting/,,105
.toml file,Informational,1900,72,0.00,0.33,0,5,,https://www.heroku.com/blog/why-buildpacks-use-toml/,115
11.0 13,Informational,1900,23,0.00,0.33,0,22,,https://devcenter.heroku.com/changelog-items/2007,171
3.14/2,Informational,1900,25,0.00,0.33,0,6,,https://devcenter.heroku.com/changelog-items/3504,0
8.0.18,Informational,1900,24,0.00,0.33,0,59,,https://devcenter.heroku.com/changelog-items/3310,310000
add members to enterprise app,Informational,1900,15,0.00,0.00,0,22,,https://devcenter.heroku.com/articles/managing-team-roles,141
bugsnag,Navigational,1900,46,6.26,0.40,0,7,,https://devcenter.heroku.com/articles/bugsnag,0
caesar cipher translator,Informational,1900,34,0.00,0.33,14,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,109
caesar cypher decoder,Commercial,1900,62,0.00,0.33,19,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,117
error 413,Informational,1900,26,0.00,0.33,47,0,https://www.kloudbean.com/how-to-fix-the-413-request-entity-too-large-error-in-wordpress-the-7-easiest-ways/,,118
generate css grid,Commercial,1900,42,6.66,0.33,20,0,https://www.kloudbean.com/css-grid-generator/,,111
github student developer pack:,Navigational,1900,77,5.40,0.04,0,3,,https://www.heroku.com/github-students/,0
heroku login,"Navigational, Transactional",1900,66,8.20,0.01,0,1,,https://id.heroku.com/,108
hexadecimal to ascii,Informational,1900,32,0.00,0.33,11,0,https://www.kloudbean.com/hex-to-ascii-converter/,,106
kubecon 2025,Informational,1900,59,0.00,0.02,0,24,,https://www.heroku.com/events/2025/kubecon-cloudnativecon-north-america-2025/,106
lit chart,"Informational, Navigational",1900,29,2.52,0.33,0,7,,https://www.heroku.com/customers/litcharts/,169
log format,Informational,1900,30,3.01,0.33,64,0,https://www.kloudbean.com/log-format-standardizer/,,152
network calculator,Informational,1900,67,2.66,0.01,15,0,https://www.kloudbean.com/network-subnet-calculator/,,19
paperclip gem,Informational,1900,10,0.00,0.33,0,9,,https://devcenter.heroku.com/articles/paperclip-s3,175
pgbouncer,Informational,1900,44,6.34,0.01,0,10,,https://devcenter.heroku.com/articles/best-practices-pgbouncer-configuration,108
postgre sql,Navigational,1900,100,4.90,0.27,0,20,,https://www.heroku.com/postgres/,106
salesforce outage,Navigational,1900,44,0.00,0.33,0,42,,https://status.heroku.com/,0
the twelve-factor app config environment variables,Informational,1900,19,0.00,0.00,0,61,,https://www.heroku.com/blog/heroku-open-sources-twelve-factor-app-definition/,145
write-ahead logging,Informational,1900,27,0.76,0.32,0,37,,https://devcenter.heroku.com/articles/postgres-write-ahead-log-usage,105
11.0.21,Informational,1600,16,0.00,0.33,0,15,,https://devcenter.heroku.com/changelog-items/2701,209000
11.0.24,Informational,1600,16,0.00,0.33,0,16,,https://devcenter.heroku.com/changelog-items/2926,165
12 factor app,Informational,1600,42,4.75,0.02,0,6,,https://www.heroku.com/blog/heroku-open-sources-twelve-factor-app-definition/,157
8.0.19,Informational,1600,19,0.00,0.33,0,18,,https://devcenter.heroku.com/changelog-items/3365,280000
aws re:invent 2025,"Navigational, Transactional",1600,45,0.00,0.01,0,24,,https://www.heroku.com/events/2025/aws-reinvent/,133
caesar cipher solver,Informational,1600,44,0.00,0.33,23,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,117
cipher shift decoder,Informational,1600,35,0.00,0.33,23,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,183
cloudconvert gif to mp4,"Navigational, Transactional",1600,75,0.00,0.33,31,0,https://www.kloudbean.com/gif-to-mp4-converter/,,89
custom domain,Informational,1600,64,12.07,0.48,0,9,,https://devcenter.heroku.com/articles/custom-domains,126
error establishing a database connection wordpress,Informational,1600,25,0.00,0.00,40,0,https://www.kloudbean.com/how-to-resolve-the-error-establishing-a-database-connection-issue-in-wordpress-with-kloudbean-hosting/,,124
github students,"Navigational, Transactional",1600,75,9.63,0.02,0,7,,https://www.heroku.com/github-students/,109
heroku environment variables,Informational,1600,30,0.00,0.33,0,1,,https://devcenter.heroku.com/articles/config-vars,104
heroku status,Navigational,1600,46,0.00,0.33,0,1,,https://status.heroku.com/,96
hex to rgba,Informational,1600,61,5.61,0.01,26,0,https://www.kloudbean.com/hex-to-rgb-rgba-converter/,,89
hrok,Informational,1600,27,0.00,0.33,0,36,,https://www.heroku.com/,133
litchart,Navigational,1600,33,4.69,0.33,0,13,,https://www.heroku.com/customers/litcharts/,0
postgres sql,"Informational, Navigational",1600,100,4.58,0.25,0,13,,https://www.heroku.com/postgres/,170
postgresql database,Navigational,1600,100,5.84,0.23,0,21,,https://www.heroku.com/postgres/,106
postgressql,Informational,1600,93,4.58,0.25,0,16,,https://www.heroku.com/postgres/,158
railway ruby,Informational,1600,28,0.00,0.33,0,19,,https://www.heroku.com/ruby/,125
rate limit test,Informational,1600,30,5.07,0.38,69,0,https://www.kloudbean.com/api-rate-limiting-calculator/,,129
salesforce status,Navigational,1600,47,0.00,0.33,0,10,,https://status.heroku.com/,104
slack service hook,Informational,1600,44,6.08,0.01,0,45,,https://devcenter.heroku.com/articles/chatops,113
toml file,Informational,1600,76,0.00,0.33,0,9,,https://www.heroku.com/blog/why-buildpacks-use-toml/,111
upcloud cloud,"Informational, Transactional",1600,26,6.99,0.37,23,0,https://www.kloudbean.com/upcloud-managed-cloud-hosting/,,106
why couldn't kafka transform,Informational,1600,28,0.00,0.00,0,16,,https://www.heroku.com/kafka/,191000
1.25/3,Informational,1300,35,0.00,0.33,0,13,,https://devcenter.heroku.com/changelog-items/3424,0
1.25/4,Informational,1300,24,0.00,0.33,0,15,,https://devcenter.heroku.com/changelog-items/3478,0
a paas,Informational,1300,27,4.24,0.08,0,32,,https://www.heroku.com/resources/articles/iaas-vs-paas-vs-saas/,138
ap2 referral events webhook payload,Informational,1300,5,0.00,0.00,0,21,,https://devcenter.heroku.com/articles/webhook-events,466
auth0 soc 2 iso 27001 certifications,"Informational, Navigational",1300,13,0.00,0.00,0,34,,https://www.heroku.com/compliance/,113
aws summit nyc,Navigational,1300,30,12.32,0.02,0,4,,https://www.heroku.com/events/2025/aws-summit-nyc/,0
code of emoji,Informational,1300,80,0.00,0.33,42,0,https://www.kloudbean.com/emoji-picker-with-html-codes/,,125
dedup,Informational,1300,26,7.06,0.01,0,26,,https://elements.heroku.com/addons/dedup,132
docker build -t,"Informational, Transactional",1300,35,3.28,0.02,0,97,,https://devcenter.heroku.com/categories/deploying-with-docker,7750000
docker.com,Navigational,1300,95,2.33,0.69,0,55,,https://www.heroku.com/deploy-with-docker/,56700000
everlane.com software platform,Informational,1300,20,0.00,0.00,0,2,,https://www.heroku.com/customers/everlane/,263000
flexbox generator,Commercial,1300,41,1.22,0.03,9,0,https://www.kloudbean.com/flexbox-generator/,,83
github education pack,"Navigational, Transactional",1300,66,4.98,0.05,0,7,,https://www.heroku.com/github-students/,147
github for students,"Navigational, Transactional",1300,83,9.63,0.02,0,6,,https://www.heroku.com/github-students/,106
heroku pricing,"Navigational, Transactional",1300,50,8.04,0.12,0,1,,https://www.heroku.com/pricing/,102
herokuapp,"Informational, Navigational",1300,44,15.20,0.21,0,1,,https://www.heroku.com/,133
hex to ascii converter,Informational,1300,29,11.73,0.01,12,0,https://www.kloudbean.com/hex-to-ascii-converter/,,102
mailgun pricing,"Navigational, Transactional",1300,25,4.86,0.53,0,31,,https://elements.heroku.com/addons/mailgun,101
no pg_hba.conf entry for host,Informational,1300,52,0.00,0.33,0,4,,https://help.heroku.com/DR0TTWWD/seeing-fatal-no-pg_hba-conf-entry-errors-in-postgres,91
online decrypter,Informational,1300,60,2.74,0.03,35,0,https://www.kloudbean.com/encryption-decryption-tool/,,105
openwebui.,Informational,1300,44,6.46,0.02,34,0,https://support.kloudbean.com/docs/ai-tools/openwebui/,,126
post sql,Informational,1300,84,4.58,0.25,0,19,,https://www.heroku.com/postgres/,128
postgres xl,Informational,1300,27,4.90,0.27,0,52,,https://www.heroku.com/postgres/,108
postgresql db,Navigational,1300,99,6.51,0.24,0,18,,https://www.heroku.com/postgres/,106
python 3.10.5,Informational,1300,37,0.00,0.01,0,11,,https://devcenter.heroku.com/changelog-items/2424,32000
python 3.12.3,Informational,1300,58,0.00,0.33,0,10,,https://devcenter.heroku.com/changelog-items/2861,130
python 3.12.8,"Informational, Transactional",1300,31,0.00,0.33,0,21,,https://devcenter.heroku.com/changelog-items/3074,18700
python 3.13.5,Informational,1300,39,0.00,0.33,0,16,,https://devcenter.heroku.com/changelog-items/3291,31600
r g b to hex,Informational,1300,34,3.46,0.01,36,0,https://www.kloudbean.com/rgb-to-hex-converter/,,97
rbg to hex,Informational,1300,42,3.46,0.01,36,0,https://www.kloudbean.com/rgb-to-hex-converter/,,93
self signed certificate,Informational,1300,63,4.10,0.02,0,6,,https://devcenter.heroku.com/articles/ssl-certificate-self,135
ssl decoder,"Commercial, Informational",1300,32,10.34,0.04,30,0,https://www.kloudbean.com/ssl-certificate-decoder/,,93
1.25/5,Informational,1000,40,0.00,0.33,0,16,,https://devcenter.heroku.com/changelog-items/3503,0
8.0.21,Informational,1000,27,0.00,0.33,0,11,,https://devcenter.heroku.com/changelog-items/3425,86
airbase fintech company overview,Informational,1000,22,0.00,0.00,0,35,,https://www.heroku.com/customers/airbase/,109
api.buildings.com,Informational,1000,26,0.00,0.00,0,79,,https://devcenter.heroku.com/articles/build-and-release-using-the-api,1400000000
application hosting,Informational,1000,64,11.79,0.08,0,4,,https://www.heroku.com/,154
aws cdn,Informational,1000,53,5.92,0.12,0,27,,https://devcenter.heroku.com/articles/using-amazon-cloudfront-cdn,104
aws re invent 2025,Informational,1000,46,0.00,0.01,0,23,,https://www.heroku.com/events/2025/aws-reinvent/,130
caesar code translator,Informational,1000,43,0.00,0.33,22,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,105
cloudnary,Navigational,1000,64,4.02,0.32,0,4,,https://elements.heroku.com/addons/cloudinary,0
data residency,Informational,1000,37,23.19,0.03,0,46,,https://www.heroku.com/blog/data-residency-concerns-global-applications/,134
determine statistical significance calculator,Informational,1000,37,3.81,0.02,50,0,https://www.kloudbean.com/statistical-significance-calculator/,,109
docker hosting,Informational,1000,55,9.78,0.29,0,4,,https://www.heroku.com/deploy-with-docker/,129
exa mcp,Informational,1000,20,3.78,0.20,0,15,,https://elements.heroku.com/mcp-servers/dsouza-anush/exa-mcp-server-heroku,118
fastify-openapi-glue servicehandlers operationid,Informational,1000,20,0.00,0.00,0,23,,https://www.heroku.com/blog/build-openapi-apis-nodejs-fastify/,316
google cloud hosting,Informational,1000,67,17.24,0.17,31,0,https://www.kloudbean.com/google-managed-cloud-hosting/,,133
html table generator,Commercial,1000,37,4.99,0.03,28,0,https://www.kloudbean.com/html-table-generator/,,116
iaas vs paas,Commercial,1000,52,2.84,0.06,0,44,,https://www.heroku.com/resources/articles/iaas-vs-paas-vs-saas/,133
java heap space error,Informational,1000,17,0.00,0.00,0,32,,https://devcenter.heroku.com/articles/java-memory-issues,128
leg ext:php,Informational,1000,26,3.36,0.33,0,10,,https://devcenter.heroku.com/articles/managing-php-extensions,2780000
login.salesforce.com,"Navigational, Transactional",1000,51,5.51,0.01,0,59,,https://www.heroku.com/salesforce/,0
meta data viewer,Informational,1000,57,0.59,0.33,53,0,https://www.kloudbean.com/exif-data-viewer/,,91
mittald hosting typo3 playground imagemagick,Informational,1000,12,0.00,0.00,0,37,,https://elements.heroku.com/buildpacks/duckyteam/heroku-buildpack-imagemagick,362
net 10 release date,Informational,1000,73,0.00,0.33,0,8,,https://www.heroku.com/blog/support-for-dotnet-10-lts-what-developers-need-know/,107
nyc summit,Navigational,1000,41,0.74,0.88,0,5,,https://www.heroku.com/events/2025/aws-summit-nyc/,87
open web ui.,Informational,1000,26,6.82,0.01,67,0,https://support.kloudbean.com/docs/ai-tools/openwebui/,,99
pbkdf2,Informational,1000,46,0.00,0.33,20,0,https://www.kloudbean.com/pbkdf2-hash-generator/,,114
pg数据库,Informational,1000,59,3.56,0.29,0,29,,https://www.heroku.com/postgres/,125
postsql,Navigational,1000,100,4.58,0.25,0,22,,https://www.heroku.com/postgres/,128
pwa apps,Informational,1000,88,4.62,0.09,0,36,,https://www.heroku.com/blog/how-to-make-progressive-web-app/,166
r14,Informational,1000,33,0.00,0.01,0,23,,https://devcenter.heroku.com/articles/ruby-memory-use,28100000
rgb in hex,Informational,1000,44,3.46,0.01,31,0,https://www.kloudbean.com/rgb-to-hex-converter/,,100
splash screens,Informational,1000,38,2.08,0.01,48,0,https://www.kloudbean.com/splash-screen-generator/,,196
student developer pack github,"Navigational, Transactional",1000,51,7.39,0.05,0,8,,https://www.heroku.com/github-students/,116
what is my dns server,Informational,1000,60,3.85,0.01,0,63,,https://help.heroku.com/N65VSK2Y/which-dns-provider-am-i-using,182
ae studio,Navigational,880,49,8.60,0.03,0,6,,https://www.heroku.com/customers/aestudio/,109
airbrake,"Informational, Navigational",880,58,1.41,0.02,0,9,,https://elements.heroku.com/addons/airbrake,192
aws summit new york,Navigational,880,34,7.58,0.01,0,9,,https://www.heroku.com/events/2025/aws-summit-nyc/,0
aws summit nyc 2025,Navigational,880,24,0.00,0.33,0,4,,https://www.heroku.com/events/2025/aws-summit-nyc/,134
barcode free,Informational,880,54,1.40,0.06,54,0,https://www.kloudbean.com/free-barcode-generator-tool/,,132
caesar code decoder,Informational,880,28,0.00,0.33,23,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,123
cesar cipher decoder,Informational,880,30,0.00,0.33,21,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,121
cloudinary pricing,Navigational,880,26,9.98,0.26,0,12,,https://elements.heroku.com/addons/cloudinary,0
conversor hexadecimal a ascii,Informational,880,26,0.00,0.33,14,0,https://www.kloudbean.com/hex-to-ascii-converter/,,101
csr generator,Commercial,880,38,5.97,0.09,17,0,https://www.kloudbean.com/csr-certificate-signing-request-generator/,,124
css flex generator,Informational,880,40,1.35,0.03,10,0,https://www.kloudbean.com/flexbox-generator/,,86
css flexbox generator,Informational,880,40,1.35,0.03,7,0,https://www.kloudbean.com/flexbox-generator/,,79
decipher caesar cipher,Informational,880,50,0.00,0.33,24,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,118
decipherer tool,Informational,880,66,0.00,0.33,53,0,https://www.kloudbean.com/encryption-decryption-tool/,,168
django hosting,Informational,880,46,11.37,0.23,0,13,,https://www.heroku.com/python/,147
github student dev pack,"Informational, Transactional",880,72,7.39,0.05,0,6,,https://www.heroku.com/github-students/,107
guid uuid generator,Informational,880,34,4.61,0.33,16,0,https://www.kloudbean.com/uuid-guid-generator/,,93
heroku outage,Navigational,880,49,0.00,0.33,0,1,,https://status.heroku.com/,109
hexadecimal rgba,Informational,880,56,5.61,0.01,31,0,https://www.kloudbean.com/hex-to-rgb-rgba-converter/,,98
how to find all dependencies of a python script,Informational,880,24,0.00,0.00,0,21,,https://devcenter.heroku.com/articles/python-pip,131
javascript validator,Informational,880,45,3.11,0.08,23,0,https://www.kloudbean.com/javascript-formatter-and-validator/,,92
kubecon 2026,Informational,880,52,4.96,0.13,0,26,,https://www.heroku.com/events/2025/kubecon-cloudnativecon-europe-2026/,107
kubecon atlanta,Informational,880,32,0.00,0.01,0,11,,https://www.heroku.com/events/2025/kubecon-cloudnativecon-north-america-2025/,108
maven settings.xml,Informational,880,30,0.00,0.33,0,17,,https://devcenter.heroku.com/articles/using-a-custom-maven-settings-xml,107
pycon 2025,"Navigational, Transactional",880,47,0.00,0.33,0,26,,https://www.heroku.com/events/2025/pycon-us/,109
python 3.13.7,Informational,880,27,0.00,0.33,0,10,,https://devcenter.heroku.com/changelog-items/3379,29100
redis cloud,"Navigational, Transactional",880,65,20.21,0.30,0,7,,https://devcenter.heroku.com/articles/rediscloud,104
salesforce down,Navigational,880,44,15.00,0.01,0,36,,https://status.heroku.com/,110
salesforce world tour,"Navigational, Transactional",880,39,6.70,0.05,0,27,,https://www.heroku.com/events/2025/agentforce-world-tour-new-york/,138
self signed certificate in certificate,Informational,880,57,4.10,0.02,0,1,,https://devcenter.heroku.com/articles/ssl-certificate-self,39
self signed ssl certificate,Informational,880,50,4.10,0.02,0,3,,https://devcenter.heroku.com/articles/ssl-certificate-self,131
twelve factor app,Navigational,880,48,4.75,0.02,0,6,,https://www.heroku.com/blog/heroku-open-sources-twelve-factor-app-definition/,129
what is heroku,Navigational,880,37,15.76,0.01,0,1,,https://www.heroku.com/,107
.toml,Informational,720,71,0.00,0.33,0,6,,https://www.heroku.com/blog/why-buildpacks-use-toml/,111
12 factors,Informational,720,41,0.00,0.33,0,5,,https://www.heroku.com/blog/heroku-open-sources-twelve-factor-app-definition/,124
400 bad request header or cookie too large,Informational,720,19,0.08,0.05,0,55,,https://help.heroku.com/TQ80D553/why-do-i-get-a-400-bad-request-response-when-i-have-large-cookies,124
appsignal,Informational,720,27,1.68,0.16,0,7,,https://devcenter.heroku.com/articles/appsignal,147
aws conference 2025,Informational,720,67,0.00,0.33,0,11,,https://www.heroku.com/events/2025/aws-summit-nyc/,106
aws new york summit,Informational,720,46,7.58,0.01,0,7,,https://www.heroku.com/events/2025/aws-summit-nyc/,0
aws ny summit,Navigational,720,29,0.00,0.01,0,11,,https://www.heroku.com/events/2025/aws-summit-nyc/,0
best vpn location for grok imagine,Commercial,720,25,0.00,0.00,0,41,,https://devcenter.heroku.com/articles/vpn-private-space-google-cloud-platform,147
calculator subnetting,Informational,720,59,2.81,0.33,32,0,https://www.kloudbean.com/network-subnet-calculator/,,126
certificate reader,Informational,720,33,9.25,0.03,28,0,https://www.kloudbean.com/ssl-certificate-decoder/,,92
cipher encoder,Informational,720,60,0.00,0.33,14,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,184
claudinary,Navigational,720,59,3.89,0.32,0,10,,https://elements.heroku.com/addons/cloudinary,0
cloudpanel nodejs,Informational,720,15,0.00,0.33,0,37,,https://www.heroku.com/nodejs/,107
custom domain names,Informational,720,79,9.53,0.49,0,9,,https://devcenter.heroku.com/articles/custom-domains,130
custom domains,Commercial,720,78,12.14,0.34,0,4,,https://devcenter.heroku.com/articles/custom-domains,124
error code -1073741819,Informational,720,50,0.00,0.00,0,28,,https://devcenter.heroku.com/articles/error-codes,1510000000
flex generator,Commercial,720,32,1.22,0.03,12,0,https://www.kloudbean.com/flexbox-generator/,,170
givegab,Navigational,720,29,16.51,0.22,0,5,,https://www.heroku.com/customers/givegab/,103
hellop,Informational,720,24,10.82,0.33,0,19,,https://www.heroku.com/,114
heroku api key,Informational,720,28,0.00,0.33,0,1,,https://help.heroku.com/PBGP6IDE/how-should-i-generate-an-api-key-that-allows-me-to-use-the-heroku-platform-api,105
heroku api token,Navigational,720,27,0.00,0.33,0,1,,https://help.heroku.com/PBGP6IDE/how-should-i-generate-an-api-key-that-allows-me-to-use-the-heroku-platform-api,108
heroku app,Navigational,720,54,7.17,0.24,0,1,,https://www.heroku.com/,0
hex translator to ascii,Informational,720,22,10.89,0.33,10,0,https://www.kloudbean.com/hex-to-ascii-converter/,,97
hirek ext:php,Informational,720,35,0.01,0.33,0,2,,https://devcenter.heroku.com/articles/php-support,3000
html for tables generator,Informational,720,43,4.15,0.02,21,0,https://www.kloudbean.com/html-table-generator/,,117
html table builder,Informational,720,25,4.15,0.02,21,0,https://www.kloudbean.com/html-table-generator/,,114
json to c#,Informational,720,36,0.00,0.01,20,0,https://www.kloudbean.com/json-to-c-class-converter/,,113
mailto gzip.org,Informational,720,25,0.00,0.33,0,25,,https://devcenter.heroku.com/articles/compressing-http-messages-with-gzip,138
make icon app,Informational,720,55,2.21,0.14,21,0,https://www.kloudbean.com/app-icon-generator/,,133
