Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
couldways,1,1,260,78,55.26,https://www.cloudways.com/en/,208,0.6,11494.00,0.46,145,"0, 0, 30, 20, 20, 30, 10, 0, 0, 0, 0, 0",2026-06-05,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, Ads middle",navigational,Organic
hosting for agencies,1,1,720,47,28.68,https://www.cloudways.com/en/hosting-for-agencies.php,178,0.51,5105.00,0.03,145,"41, 36, 24, 66, 100, 24, 5, 5, 2, 3, 20, 5",2026-06-07,"Sitelinks, Video, Ads top, Related searches, Ads middle, AI overview",commercial,Organic
php development company,1,1,1300,21,41.79,https://www.cloudways.com/blog/php-development-companies/,171,0.49,7146.00,0.04,120,"37, 52, 46, 100, 100, 46, 52, 84, 84, 100, 68, 68",2026-06-01,"Local pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
cloudwas,1,1,210,62,0.00,https://www.cloudways.com/en/,168,0.48,0.00,0,0,"8, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1",2026-07-12,"Top stories, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
rackspace webmail,10,10,33100,68,11.89,https://support.cloudways.com/en/articles/5131511-how-to-configure-my-email-client-with-rackspace-mailbox,165,0.48,1961.00,0.01,0,"36, 36, 36, 30, 30, 36, 24, 24, 24, 24, 24, 24",2026-07-21,"Sitelinks, Reviews, Video, Related searches",navigational,Organic
wordpress 6.7 release today,1,1,590,15,0.00,https://www.cloudways.com/blog/wordpress-6-7/,146,0.42,0.00,0,45,"16, 68, 100, 31, 1, 0, 0",2026-06-21,"Video, Featured snippet, People also ask, Related searches",informational,Organic
agency hosting,1,1,480,51,3.00,https://www.cloudways.com/en/hosting-for-agencies.php,119,0.34,357.00,0.5,145,"10, 16, 30, 36, 30, 24, 30, 36, 81, 30, 30, 24",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
codeigniter 404,5,5,14800,16,0.00,https://www.cloudways.com/blog/custom-codeigniter-404-not-found-page/,118,0.34,0.00,0.33,20,"8, 8, 0, 2, 24, 44, 54, 67, 44, 67, 81, 100",2026-07-18,"Sitelinks, Video, Related searches, AI overview",informational,Organic
clousways,1,1,140,69,55.26,https://www.cloudways.com/en/,112,0.32,6189.00,0.46,0,"0, 36, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0",2026-06-13,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
clodways,1,1,140,72,55.26,https://www.cloudways.com/en/,112,0.32,6189.00,0.46,0,"0, 0, 0, 0, 0, 0, 0, 16, 3, 0, 0, 0",2026-06-15,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
cloudwayas,1,1,140,77,0.00,https://www.cloudways.com/en/,112,0.32,0.00,0,0,"52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-17,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
cloudaways,1,1,140,70,55.26,https://www.cloudways.com/en/,112,0.32,6189.00,0.46,0,"3, 3, 76, 3, 1, 0, 0, 0, 0, 0, 30, 0",2026-06-20,"Knowledge panel, Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
coudways,1,1,140,80,28.21,https://www.cloudways.com/en/,112,0.32,3159.00,0.49,0,"1, 1, 66, 2, 0, 66, 29, 0, 36, 44, 0, 4",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","navigational, transactional",Organic
cliudways,1,1,140,64,55.26,https://www.cloudways.com/en/,112,0.32,6189.00,0.46,0,"100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-21,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
cloudwayts,1,1,110,55,0.00,https://www.cloudways.com/en/,88,0.25,0.00,0,143,"0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-04,"Knowledge panel, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
cloudwaya,1,1,110,48,28.21,https://www.cloudways.com/en/,88,0.25,2482.00,0.49,0,"4, 100, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100",2026-07-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
err_http2_protocol_error,6,6,3600,31,0.55,https://www.cloudways.com/blog/err_http2_protocol_error/,86,0.25,47.00,0.01,20,"100, 81, 81, 81, 81, 100, 100, 65, 54, 54, 65, 81",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
best coding youtube channels,8,18,27100,29,0.00,https://www.cloudways.com/blog/best-youtube-channels-to-learn-programming/,81,0.23,0.00,0.01,103,"0, 0, 0, 0, 36, 0, 13, 44, 100, 54, 0, 10",2026-07-23,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
clooudways,1,1,320,64,55.26,https://www.cloudways.com/en/,79,0.23,4365.00,0.46,164,"13, 0, 30, 0, 100, 2, 0, 0, 0, 20, 0, 0",2026-06-03,"Knowledge panel, Sitelinks, Video, Ads top, Video Carousel, People also ask, Related searches, Ads middle","informational, transactional",Organic
cloudyways,1,1,90,54,28.21,https://www.cloudways.com/en/,72,0.2,2031.00,0.49,0,"0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 36",2026-07-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
wordpress agency,6,6,2400,31,26.20,https://www.cloudways.com/blog/wordpress-agencies/,72,0.2,1886.00,0.25,43,"65, 54, 65, 65, 43, 43, 43, 100, 54, 43, 54, 43",2026-07-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
live price comparison,13,13,18100,69,0.51,https://www.cloudways.com/blog/price-comparison-websites/,72,0.2,36.00,0.07,123,"44, 29, 0, 3, 20, 13, 36, 36, 54, 36, 44, 54",2026-07-18,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",transactional,Organic
web hosting affiliate program,1,1,480,63,5.57,https://www.cloudways.com/en/web-hosting-affiliate-program.php,63,0.18,350.00,0.06,116,"100, 54, 44, 100, 81, 67, 44, 36, 44, 29, 23, 44",2026-06-07,"Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
magento hosting,6,3,1900,53,17.25,https://www.cloudways.com/en/magento-hosting.php,57,0.16,983.00,0.04,124,"66, 66, 44, 52, 52, 44, 44, 66, 52, 44, 44, 44",2026-07-22,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
cloud hosting,5,5,6600,80,10.65,https://www.cloudways.com/en/,52,0.15,553.00,0.16,148,"29, 36, 29, 29, 24, 16, 29, 29, 24, 19, 24, 19",2026-07-21,"Sitelinks, Reviews, Video, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
php frameworks,1,1,590,34,4.57,https://www.cloudways.com/blog/best-php-frameworks/,48,0.13,219.00,0.03,155,"30, 24, 24, 24, 24, 20, 20, 16, 16, 16, 16, 79",2026-05-29,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
headless wordpress,4,4,1600,32,15.67,https://www.cloudways.com/blog/headless-wordpress-cms/,48,0.13,752.00,0.25,48,"36, 36, 27, 20, 20, 24, 36, 36, 36, 36, 80, 100",2026-07-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
best woocommerce hosting,4,4,1300,58,41.21,https://www.cloudways.com/en/woocommerce-hosting.php,45,0.13,1854.00,0.16,148,"24, 30, 30, 54, 54, 66, 79, 79, 54, 79, 66, 100",2026-05-29,"Sitelinks, Video, Ads top, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",commercial,Organic
cludways,1,1,170,70,55.26,https://www.cloudways.com/en/,42,0.12,2320.00,0.46,147,"0, 30, 55, 0, 0, 10, 20, 0, 24, 5, 0, 0",2026-05-29,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
how long to do website migration,1,1,170,15,0.00,https://www.cloudways.com/blog/how-long-to-do-website-migration/,42,0.12,0.00,0,154,"7, 23, 43, 43, 12, 28, 82, 10, 53, 53, 53, 66",2026-06-27,"Sitelinks, Reviews, Video, Featured snippet, People also ask",informational,Organic
web hosting for agencies,1,1,320,51,28.68,https://www.cloudways.com/en/hosting-for-agencies.php,42,0.12,1204.00,0.03,148,"100, 23, 12, 36, 44, 44, 15, 66, 19, 23, 66, 44",2026-05-30,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
cloud managed hosting,1,1,320,56,21.27,https://www.cloudways.com/en/,42,0.12,893.00,0.02,154,"11, 15, 18, 35, 66, 81, 81, 100, 44, 66, 54, 28",2026-06-04,"Video, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
hosting wordpress,11,11,8100,75,25.62,https://www.cloudways.com/en/wordpress-hosting.php,40,0.11,1024.00,0.32,131,"19, 36, 81, 24, 54, 100, 66, 29, 66, 13, 19, 13",2026-07-20,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
cloudwasy,1,1,50,68,55.26,https://www.cloudways.com/en/,40,0.11,2210.00,0.46,0,"0, 100, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0",2026-06-11,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
clowdways,1,1,50,68,55.26,https://www.cloudways.com/en/,40,0.11,2210.00,0.46,140,"1, 100, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
best coding youtube channels,14,18,27100,29,0.00,https://www.cloudways.com/blog/best-youtube-channels-to-learn-programming/,40,0.11,0.00,0.01,103,"0, 0, 0, 0, 36, 0, 13, 44, 100, 54, 0, 10",2026-07-23,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
managed magento hosting,2,2,590,52,37.10,https://www.cloudways.com/en/magento-hosting.php,38,0.11,1409.00,0.12,119,"72, 59, 59, 59, 59, 39, 39, 48, 48, 32, 59, 72",2026-06-29,"Sitelinks, Reviews, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
scaling wordpress for global traffic and multiple domains,4,4,880,18,0.00,https://www.cloudways.com/blog/wordpress-scaling/,38,0.11,0.00,0,112,"8, 100",2026-05-30,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
how to install wordpress,12,12,12100,43,5.57,https://www.cloudways.com/blog/install-wordpress-locally/,36,0.1,200.00,0.21,103,"0, 0, 1, 1, 0, 3, 4, 36, 100, 0, 30, 0",2026-07-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
wordpress web design agency,8,8,1900,25,16.70,https://www.cloudways.com/blog/wordpress-agencies/,36,0.1,601.00,0.04,156,"100, 24, 82, 100, 82, 65, 44, 55, 100, 55, 55, 82",2026-07-18,"Sitelinks, Reviews, Video, Related searches, AI overview",commercial,Organic
secure wordpress hosting,5,5,1000,50,20.18,https://www.cloudways.com/en/secure-wordpress-hosting.php,35,0.1,706.00,0.1,142,"55, 45, 76, 76, 45, 67, 76, 100, 100, 76, 76, 100",2026-07-03,"Sitelinks, Video, Video Carousel, Related searches, Ads middle, AI overview","commercial, informational",Organic
cloud hosting wordpress,1,1,140,63,22.88,https://www.cloudways.com/en/wordpress-hosting.php,34,0.09,777.00,0.1,121,"26, 53, 80, 34, 26, 53, 65, 26, 34, 65, 100, 65",2026-07-18,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
wordpress cloud hosting,1,1,260,72,22.88,https://www.cloudways.com/en/wordpress-hosting.php,34,0.09,777.00,0.1,124,"24, 20, 24, 7, 5, 7, 5, 13, 2, 4, 13, 8",2026-06-28,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
cloudwya,1,1,40,51,0.00,https://www.cloudways.com/en/,32,0.09,0.00,0,151,"80, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-05-24,"Knowledge panel, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
wordpress 6.7 release candidate news,8,8,1300,27,0.00,https://www.cloudways.com/blog/wordpress-6-7/,28,0.08,0.00,0,106,"36, 100, 65, 1, 0, 0, 0",2026-05-29,"Video, People also ask, Related searches, AI overview",informational,Organic
magento seo advice,9,9,1300,15,2.78,https://www.cloudways.com/blog/magento-seo/,28,0.08,77.00,0.33,23,"20, 5, 44, 27, 16, 52, 100, 52, 24, 20, 3, 5",2026-07-21,"Sitelinks, Reviews, AI overview","commercial, informational",Organic
cloudwaves,1,1,110,35,11.89,https://www.cloudways.com/en/,27,0.07,321.00,0.06,137,"81, 2, 4, 100, 4, 2, 35, 4, 43, 2, 2, 4",2026-06-25,"Knowledge panel, Reviews, Video, People also ask, Related searches",informational,Organic
err unknown url scheme,1,1,210,12,0.00,https://www.cloudways.com/blog/err_unknown_url_scheme/,27,0.07,0.00,0.33,116,"22, 29, 66, 100, 29, 35, 35, 29, 54, 54, 35, 66",2026-06-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
managed cloud hosting solutions,1,1,210,54,17.11,https://www.cloudways.com/en/,27,0.07,461.00,0.02,132,"12, 34, 21, 43, 100, 100, 81, 53, 81, 65, 65, 53",2026-05-30,"Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cloudway login,1,1,110,19,1.26,https://unified.cloudways.com/,27,0.07,34.00,0.18,121,"0, 54, 0, 0, 0, 0, 0, 0, 44, 100, 0, 0",2026-07-04,"Video, Ads top, Ads bottom, Related searches, AI overview","navigational, transactional",Organic
web hosting affiliate,1,1,210,58,4.61,https://www.cloudways.com/en/web-hosting-affiliate-program.php,27,0.07,124.00,0.02,144,"43, 34, 28, 100, 100, 65, 81, 81, 81, 81, 43, 34",2026-06-15,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
