Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
err_ssl_protocol_error,12,0,18100,34,0.61,informational,https://answers.netlify.com/t/i-get-err-ssl-protocol-error-on-my-website/114055,90,0.05,54.00,0.16,20,"66, 44, 44, 66, 81, 81, 100, 66, 66, 66, 66, 81",2026-07-19,Organic,,
netlify functions,3,0,22200,40,0.00,informational,https://www.netlify.com/pricing/,88,0.05,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,People also ask,,
netlify games,1,1,590,32,0.00,navigational,https://www.netlify.com/blog/netlify-entertainment-system/,88,0.28,0.00,0.33,124,"30, 36, 62, 24, 36, 30, 30, 36, 30, 30, 36, 24",2026-06-28,Organic,,Image pack
netify drop,1,1,320,33,7.38,navigational,https://app.netlify.com/drop,88,0.15,1889.00,0.16,40,"100, 0, 0, 3, 0, 2, 0, 2, 0, 1, 54, 8",2026-07-21,Organic,,
netlify web hosting,1,1,320,34,6.66,navigational,https://www.netlify.com/,88,0.15,1704.00,0.1,132,"11, 59, 100, 17, 14, 9, 21, 5, 21, 39, 48, 48",2026-06-28,Organic,,
neltify,1,1,210,55,1.75,navigational,https://www.netlify.com/,-88,0.1,294.00,0.08,0,"3, 16, 5, 24, 4, 4, 3, 16, 5, 13, 36, 36",2026-07-22,Organic,AI overview,
netlify static website hosting,1,0,110,28,0.00,informational,https://www.netlify.com/blog/2016/10/27/a-step-by-step-guide-deploying-a-static-site-or-single-page-app/,88,0.05,0.00,0.33,125,"42, 42, 52, 66, 23, 42, 42, 19, 42, 52, 100, 80",2026-06-26,Organic,,
netlifyy,1,1,320,51,1.75,navigational,https://www.netlify.com/,88,0.15,448.00,0.08,0,"0, 0, 0, 100, 0, 0, 0, 0, 24, 0, 1, 8",2026-06-26,Organic,,People also ask
netilfy,1,1,590,80,1.75,navigational,https://www.netlify.com/,88,0.28,826.00,0.08,0,"13, 55, 100, 55, 13, 55, 36, 30, 45, 24, 45, 55",2026-06-28,Organic,,
netlify features,2,1,110,65,0.00,"informational, navigational",https://www.netlify.com/platform/,-87,0,0.00,0.02,88,"100, 100, 7, 7, 80, 80, 7, 7, 19, 53, 15, 7",2026-07-06,Organic,,"Video Carousel, Discussions and forums"
netlify news,0,3,8100,62,0.00,"informational, navigational",https://www.netlify.com/blog/netlify-database/,-81,0,0.00,0.01,104,"0, 0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1",2026-06-28,Organic,,
netlify.ap,1,1,210,75,5.78,navigational,https://app.netlify.com/,80,0.1,971.00,0.19,106,"0, 0, 1, 0, 0, 100, 2, 8, 6, 10, 45, 30",2026-07-10,Organic,,Video Carousel
netlif.xom,1,1,70,72,2.71,navigational,https://www.netlify.com/,-80,0.03,151.00,0.02,0,"0, 0, 0, 0, 1, 72, 0, 0, 0, 0, 0, 0",2026-07-07,Organic,,Video Carousel
https://fluffy-pony-316cb6.netlify.app/,0,1,320,44,0.00,navigational,https://app.netlify.com/index.html,-79,0,0.00,0,167,"100, 0, 0, 0, 0, 0, 0, 0",2026-06-29,Organic,,
netlify drop,3,8,4400,37,7.38,navigational,https://docs.netlify.com/start/quickstarts/netlify-drop-quickstart/,74,0.04,583.00,0.16,131,"8, 19, 12, 24, 12, 16, 16, 16, 19, 29, 66, 100",2026-07-21,Organic,Discussions and forums,
freegmail netlify app,1,2,110,38,0.00,navigational,https://app.netlify.com/signup/email,74,0.05,0.00,0.33,125,"100, 35, 54, 18, 3, 3, 0, 0, 6, 1, 3, 3",2026-07-06,Organic,,
netfy,1,1,320,20,1.75,navigational,https://www.netlify.com/,73,0.04,138.00,0.08,127,"11, 48, 100, 11, 9, 9, 9, 59, 11, 48, 32, 14",2026-06-28,Organic,,Knowledge panel
netlifu,1,1,480,64,0.00,navigational,https://www.netlify.com/,72,0.23,0.00,0,0,"8, 36, 62, 10, 5, 30, 5, 100, 6, 62, 13, 0",2026-07-01,Organic,,
netlify free html hosting,1,0,90,25,0.00,commercial,https://www.netlify.com/,72,0.04,0.00,0.33,131,"0, 0, 1, 1, 100, 6, 18, 6, 1, 3, 18, 18",2026-07-03,Organic,,
netlifiy,1,1,480,59,1.75,navigational,https://www.netlify.com/,72,0.23,672.00,0.08,0,"39, 72, 100, 88, 32, 39, 7, 39, 5, 48, 59, 88",2026-07-01,Organic,Video Carousel,
netlify:,1,1,260,66,1.75,navigational,https://www.netlify.com/,72,0.12,364.00,0.08,0,"0, 0, 0, 0, 0, 1, 100, 13, 0, 37, 0, 0",2026-07-11,Organic,Video Carousel,
netlify.app,5,0,2400,61,5.78,informational,https://app.netlify.com/drop,72,0.04,416.00,0.19,14700000,"54, 44, 100, 5, 35, 19, 12, 12, 12, 19, 29, 29",2026-07-19,Organic,,
netlify mcp server,0,1,90,24,0.00,informational,https://docs.netlify.com/build/build-with-ai/netlify-mcp-server/,-72,0,0.00,0.04,72,"0, 0, 0, 5, 17, 35, 23, 100, 100, 5, 5, 5",2026-06-29,Organic,,
netlifuy,1,1,390,79,1.75,navigational,https://www.netlify.com/,-72,0.18,546.00,0.08,0,"100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-05,Organic,"People also ask, Ads middle",
netlify domains,1,2,90,29,7.88,navigational,https://docs.netlify.com/manage/domains/configure-domains/register-and-buy-a-domain/,71,0.04,567.00,0.5,105,"28, 21, 34, 21, 21, 34, 28, 28, 43, 28, 34, 53",2026-07-07,Organic,,"Image pack, Video Carousel"
update netlify site,1,1,90,17,0.00,informational,https://answers.netlify.com/t/how-update-site/109356,-70,0,0.00,0,107,"2, 2, 2, 100, 2, 2, 2, 0, 2, 2, 2, 2",2026-06-29,Organic,Video Carousel,
netifly,0,1,5400,61,2.26,navigational,https://developers.netlify.com/videos/five-ways-to-deploy-a-new-netlify-site/,-70,0,0.00,0.07,0,"36, 29, 29, 36, 36, 23, 23, 66, 23, 36, 44, 100",2026-07-04,People also ask,,
stackbit,1,2,320,16,4.40,informational,https://www.netlify.com/integrations/stackbit/,68,0.04,347.00,0.05,120,"5, 8, 11, 7, 8, 7, 7, 11, 11, 16, 100, 3",2026-06-28,Organic,,AI overview
vercel/netlify,4,1,390,22,7.54,"commercial, informational",https://www.netlify.com/guides/netlify-vs-vercel/,-66,0,82.00,0.31,44,"100, 0, 0, 1, 13, 4, 5, 5, 5, 7, 5",2026-07-17,Organic,,Video Carousel
netlify functions,0,11,22200,42,8.97,"informational, transactional",https://www.netlify.com/,-66,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-22,Organic,,
ai content creation tools,0,1,1600,54,6.40,"commercial, informational",https://www.netlify.com/guides/best-ai-content-generation-tools/,-65,0,0.00,0.07,126,"30, 66, 54, 100, 100, 66, 100, 54, 79, 79, 54, 66",2026-07-03,People also ask,,
nettify,1,2,260,50,0.00,navigational,https://www.netlify.com/,60,0.03,0.00,0.33,131,"4, 3, 5, 100, 7, 23, 44, 54, 54, 19, 44, 23",2026-06-28,Organic,Knowledge panel,
freegmail.netlify.app,8,3,1000,37,0.00,navigational,https://www.netlify.com/,-58,0.01,0.00,0.33,689,"3, 81, 100, 1, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-22,Organic,,
blocking robots,1,0,880,59,5.27,informational,https://developers.netlify.com/videos/block-ai-bots-from-crawling-your-netlify-site/,57,0.03,300.00,0.08,26900000,"36, 7, 79, 66, 36, 13, 36, 100, 30, 30, 0, 0",2026-07-14,Video Carousel,,
netlify.app,0,5,2400,40,6.19,navigational,https://developers.netlify.com/videos/introducing-ai-gateway/,-57,0,0.00,0.18,14500000,"3, 54, 44, 100, 5, 35, 19, 12, 12, 12, 19, 29",2026-07-12,Video Carousel,,
netlify.app,7,59,2400,61,5.78,informational,https://www.netlify.com/for/web-applications/,57,0.03,329.00,0.19,14700000,"54, 44, 100, 5, 35, 19, 12, 12, 12, 19, 29, 29",2026-07-19,Organic,AI overview,Video Carousel
app.netlify/drop,1,0,70,34,9.09,navigational,https://app.netlify.com/drop,56,0.03,509.00,0.17,0,"2, 2, 2, 0, 4, 4, 4, 4, 4, 4, 35, 100",2026-07-20,Organic,,
netlify sign in,1,0,70,40,0.00,"navigational, transactional",https://app.netlify.com/login,56,0.03,0.00,0.01,0,"7, 7, 7, 11, 7, 15, 11, 15, 19, 19, 65, 100",2026-07-18,Organic,,
netlify free,1,1,390,60,6.17,navigational,https://www.netlify.com/blog/introducing-netlify-free-plan/,56,0.18,1925.00,0.32,97,"16, 45, 100, 20, 20, 24, 16, 20, 24, 24, 36, 24",2026-07-01,Organic,,Image pack
neetlify,1,0,70,56,1.75,navigational,https://www.netlify.com/,56,0.03,98.00,0.08,0,"1, 1, 0, 0, 1, 1, 1, 1, 1, 100, 4, 0",2026-06-28,Organic,,
netlify app download,1,0,70,,9.22,navigational,https://www.netlify.com/,56,0.03,516.00,0.05,107,"18, 18, 18, 18, 45, 45, 45, 45, 63, 100, 100, 100",2026-07-10,Organic,,
netifiy,1,1,390,57,1.75,navigational,https://www.netlify.com/,56,0.18,546.00,0.08,0,"0, 100, 0, 0, 0, 0, 7, 8, 0, 7, 5, 0",2026-06-28,Organic,Video Carousel,
https://app.netlify.com/drop,1,0,70,58,5.60,navigational,https://app.netlify.com/drop,56,0.03,313.00,0.35,0,"0, 0, 0, 0, 0, 9, 52, 9, 9, 100, 100, 80",2026-07-05,Organic,,
obsidian generator,1,0,1600,27,0.00,informational,https://www.netlify.com/,55,0.03,0.00,0.33,168,"80, 44, 52, 44, 36, 36, 44, 52, 44, 44, 36, 27",2026-07-19,AI overview,,
how to host html website on netlify,1,1,70,40,0.00,informational,https://answers.netlify.com/t/how-do-i-deploy-a-static-site-html-css-js/30499,55,0.03,0.00,0.14,41,"12, 0, 12, 100, 66, 12, 5, 5, 5, 5, 0, 5",2026-07-22,Organic,,"Discussions and forums, AI overview"
netlify free plan limits,2,1,90,20,0.00,informational,https://www.netlify.com/blog/introducing-netlify-free-plan/,-55,0,0.00,0.33,92,"6, 53, 21, 34, 6, 100, 6, 21, 43, 21, 34, 6",2026-06-30,Organic,AI overview,
netlify domains,2,1,90,29,7.88,navigational,https://docs.netlify.com/manage/domains/get-started-with-domains/,-54,0,15.00,0.5,105,"28, 21, 34, 21, 21, 34, 28, 28, 43, 28, 34, 53",2026-07-07,Organic,,"Image pack, Video Carousel"
www.xnxx.com sent an invalid response. err_ssl_protocol_error chrome,1,0,2400,33,0.00,informational,https://answers.netlify.com/t/err-ssl-protocol-error-every-time/99567,53,0.03,0.00,0.33,79,"29, 36, 81, 29, 24, 19, 13, 13, 16, 13, 10, 1",2026-07-18,AI overview,,
netlify drop,16,3,4400,37,7.38,navigational,https://answers.netlify.com/t/a-few-questions-about-netlify-drop-services/68469,-51,0,7.00,0.16,131,"8, 19, 12, 24, 12, 16, 16, 16, 19, 29, 66, 100",2026-07-21,Organic,Discussions and forums,
veogen netlify,1,3,70,42,0.00,navigational,https://app.netlify.com/,51,0.03,0.00,0,102,"0, 0, 0, 100, 2, 0, 0, 0, 0, 0, 0, 0",2026-06-29,Organic,,People also ask
waf,0,9,14800,75,10.22,informational,https://docs.netlify.com/manage/security/secure-access-to-sites/web-application-firewall/,-51,0,0.00,0.11,127,"44, 54, 54, 54, 66, 54, 44, 44, 44, 44, 36, 54",2026-06-30,Things to know,,
netlify news,1,0,8100,53,0.00,"informational, navigational",https://www.netlify.com/changelog/,51,0.03,0.00,0.33,103,"0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1, 0",2026-07-20,AI overview,,
netlify news,2,2,8100,53,0.00,"informational, navigational",https://www.netlify.com/blog/netlify-for-agents/,-49,0.03,0.00,0.33,103,"0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1, 0",2026-07-20,Organic,Top stories,Video Carousel
netlify],1,1,320,59,1.75,navigational,https://www.netlify.com/,48,0.15,448.00,0.08,0,"1, 25, 52, 2, 1, 1, 100, 1, 2, 2, 2, 11",2026-07-04,Organic,Video Carousel,
netlify integrations,1,1,320,41,0.00,navigational,https://www.netlify.com/integrations/,48,0.15,0.00,0.03,109,"4, 59, 100, 14, 21, 26, 32, 26, 26, 21, 26, 7",2026-07-18,Organic,,Video Carousel
netify,0,1,5400,51,1.75,navigational,https://developers.netlify.com/videos/five-ways-to-deploy-a-new-netlify-site/,-48,0,0.00,0.08,0,"81, 29, 66, 44, 29, 44, 36, 36, 36, 54, 81, 100",2026-07-02,People also ask,,
netflfy,1,1,90,87,1.75,navigational,https://www.netlify.com/,48,0.04,126.00,0.08,0,"11, 3, 3, 3, 3, 3, 11, 8, 5, 8, 15, 100",2026-07-09,Organic,"Video Carousel, People also ask, Ads middle",
freegmail.netlify.app,3,6,1000,37,0.00,navigational,https://app.netlify.com/,47,0.04,0.00,0.33,689,"3, 81, 100, 1, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-22,Organic,,
netlify deployment,1,0,170,33,9.82,navigational,https://www.netlify.com/,47,0.02,461.00,0.18,102,"4, 48, 100, 4, 4, 3, 4, 5, 14, 9, 7, 3",2026-07-10,AI overview,,
n a map,0,6,1900,27,0.62,informational,https://answers.netlify.com/t/naval-action-url-na-map-netlify-not-accessible/24587,-45,0,0.00,0.71,111,"0, 0, 0, 0, 0, 0, 0, 44, 100, 0, 0, 1",2026-06-26,Organic,,
