Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
www.xnxx.comment an invalid response. err_ssl_protocol_error,4,4,12100,22,0.00,https://kinsta.com/blog/err_ssl_protocol_error/,363,0.53,0.00,0.33,36,"66, 81, 81, 100, 66, 44, 29, 24, 10, 4, 2, 3",2026-07-18,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
youtube something went wrong,2,2,5400,23,0.00,https://kinsta.com/blog/something-went-wrong-youtube/,351,0.51,0.00,0.33,10,"3, 5, 4, 3, 4, 24, 3, 3, 3, 100, 3, 3",2026-07-18,"Sitelinks, Reviews, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
inurl:ability,1,1,8100,23,11.23,https://kinsta.com/blog/google-search-operators/,332,0.49,3728.00,0.33,208000,"0, 0, 0, 0, 0, 0, 67, 67, 0, 67, 81, 0",2026-07-18,"Sitelinks, Reviews, Video, People also ask, AI overview",informational,People also ask
inurl:demonstrates,1,1,14800,36,0.00,https://kinsta.com/blog/google-search-operators/,325,0.48,0.00,0.33,38,"0, 0, 0, 0, 0, 24, 81, 67, 100, 67, 81, 100",2026-07-21,"Reviews, Video, People also ask",informational,People also ask
cloud hosting services,1,1,2400,79,10.65,https://kinsta.com/,268,0.39,2854.00,0.16,123,"13, 16, 19, 19, 16, 16, 13, 10, 8, 13, 13, 16",2026-07-20,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,AI overview
inurl:existing,1,1,14800,31,0.00,https://kinsta.com/blog/google-search-operators/,259,0.38,0.00,0.33,456000,"0, 0, 0, 0, 0, 67, 67, 67, 100, 67, 81, 100",2026-07-17,"Sitelinks, Reviews, Video, People also ask, AI overview",informational,People also ask
kinsta news,1,1,320,53,0.00,https://kinsta.com/topic/kinsta-news/,256,0.37,0.00,0.33,96,"0, 0, 0, 0, 41, 100, 0, 0, 16, 0, 0, 0",2026-07-11,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
kinsta plans,1,1,320,61,20.00,https://kinsta.com/pricing/,256,0.37,5120.00,0.25,93,"20, 20, 3, 3, 3, 4, 3, 2, 4, 3, 5, 4",2026-06-28,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
err_too_many_redirects,3,24,3600,31,0.13,https://kinsta.com/blog/err_too_many_redirects/,234,0.34,30.00,0.07,20,"66, 44, 44, 44, 44, 35, 35, 44, 35, 35, 35, 29",2026-07-22,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
crawlerlist,3,3,3600,42,0.00,https://kinsta.com/blog/crawler-list/,234,0.34,0.00,0.33,84,"16, 16, 19, 16, 13, 13, 13, 13, 13, 13, 16, 19",2026-07-21,"People also ask, AI overview",informational,Organic
convert svg to jpg,2,2,5400,38,1.24,https://kinsta.com/blog/how-to-open-svg-file/,221,0.32,274.00,0.02,95,"81, 66, 66, 81, 66, 66, 66, 81, 81, 66, 81, 100",2026-07-21,"Reviews, Video, Video Carousel, People also ask, Related searches",commercial,People also ask
www.xnxx.comment an invalid response. err_ssl_protocol_error www,2,2,1600,15,0.00,https://kinsta.com/blog/err_ssl_protocol_error/,211,0.31,0.00,0.33,65,"24, 36, 44, 80, 24, 36, 36, 66, 52, 80, 27, 5",2026-05-30,"Sitelinks, Video",informational,Organic
kinsta,1,1,8100,57,12.94,https://kinsta.com/,210,0.31,2717.00,0.34,98,"66, 81, 54, 54, 54, 66, 54, 81, 81, 81, 100, 81",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",navigational,Organic
download kinsta cache plugin,1,1,260,44,0.00,https://kinsta.com/docs/wordpress-hosting/kinsta-mu-plugin/,208,0.3,0.00,0,112,"100, 0, 0, 0, 0, 0",2026-06-17,"Sitelinks, Reviews, Video, Related searches, AI overview","navigational, transactional",Organic
kinstaa,1,1,260,70,0.00,https://kinsta.com/,208,0.3,0.00,0.33,114,"8, 76, 3, 16, 100, 13, 5, 20, 13, 0, 0, 0",2026-06-07,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
kinsta wordpress,1,1,260,53,13.95,https://kinsta.com/,208,0.3,2901.00,0.48,97,"16, 16, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3",2026-06-28,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
www.xnxx.com sent an invalid response. err_ssl_protocol_error,3,2,14800,28,0.00,https://kinsta.com/blog/err_ssl_protocol_error/,207,0.3,0.00,0.33,73,"81, 100, 66, 100, 66, 24, 7, 3, 3, 2, 1, 1",2026-07-22,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
cloud storage alternatives,19,19,135000,36,3.62,https://kinsta.com/blog/google-drive-alternative/,202,0.29,731.00,0.15,100,"0, 13, 36, 100, 81, 0, 0, 0, 0, 0, 0, 0",2026-07-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
cursive typo,2,2,14800,50,0.13,https://kinsta.com/fr/blog/polices-cursives/,202,0.29,26.00,0.11,123,"81, 100, 0, 2, 30, 16, 4, 0, 0, 0, 0, 0",2026-07-22,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Image pack
check ubuntu version,3,3,4400,33,0.02,https://kinsta.com/blog/check-ubuntu-version/,193,0.28,3.00,0.33,97,"54, 36, 29, 54, 44, 44, 44, 36, 36, 44, 36, 29",2026-07-17,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
google cache,4,18,5400,64,1.58,https://kinsta.com/blog/google-cache/,189,0.27,298.00,0.33,20,"54, 66, 36, 44, 54, 44, 44, 36, 54, 44, 54, 44",2026-07-22,"Video, People also ask, Related searches, AI overview",informational,Organic
error http 451,1,1,4400,42,0.00,https://kinsta.com/blog/error-451/,180,0.26,0.00,0,108,"44, 44, 54, 29, 54, 36, 54, 54, 10, 44, 29, 29",2026-07-18,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
inanchor:mais,1,1,8100,34,0.00,https://kinsta.com/blog/google-search-operators/,178,0.26,0.00,0.04,1260,"0, 0, 0, 0, 0, 81, 100, 66, 0, 81, 66, 81",2026-07-17,"Reviews, Video, People also ask, AI overview",informational,People also ask
kisnta,1,1,720,66,14.86,https://kinsta.com/,178,0.26,2645.00,0.3,115,"20, 25, 31, 11, 20, 8, 13, 7, 68, 68, 68, 84",2026-06-04,"Video, People also ask, Related searches",navigational,Organic
search engines other than google,8,8,8100,61,0.79,https://kinsta.com/blog/alternative-search-engines/,178,0.26,140.00,0.11,165,"36, 19, 29, 29, 29, 36, 44, 54, 29, 36, 29, 29",2026-07-18,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
kinsta affiliate,1,1,210,15,4.26,https://kinsta.com/affiliates/,168,0.24,715.00,0.07,96,"66, 66, 66, 66, 66, 43, 43, 29, 29, 29, 29, 29",2026-06-25,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
kinsta status,1,1,210,11,20.00,https://status.kinsta.com/,168,0.24,3360.00,0.1,71,"2, 4, 54, 3, 3, 7, 5, 5, 5, 3, 2, 5",2026-05-31,"Video, Related searches",navigational,Organic
kinsta migration doc,1,1,210,41,0.00,https://kinsta.com/docs/wordpress-hosting/wordpress-migrations/migrating-to-kinsta/,168,0.24,0.00,0,107,"100, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-22,"Sitelinks, Reviews, Video, Video Carousel, Related searches","navigational, transactional",Organic
devkinsta,1,1,210,26,8.54,https://kinsta.com/devkinsta/,168,0.24,1434.00,0.06,124,"32, 32, 26, 26, 17, 26, 21, 17, 14, 14, 17, 21",2026-07-06,"Sitelinks, Reviews, Video, Image, Video Carousel, Related searches, Ads middle",navigational,Organic
my kinsta,1,1,210,59,20.00,https://my.kinsta.com/login/,168,0.24,3360.00,0.25,103,"20, 20, 1, 2, 2, 4, 7, 3, 4, 1, 2, 2",2026-07-06,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
kinsta cloudflare,1,1,210,29,20.00,https://kinsta.com/docs/wordpress-hosting/wordpress-cdn/cloudflare/,168,0.24,3360.00,0.24,102,"0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-13,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
google fonts,13,15,201000,87,1.26,https://kinsta.com/blog/best-google-fonts/,160,0.23,201.00,0.33,0,"44, 44, 36, 44, 44, 44, 36, 44, 100, 100, 36, 44",2026-07-22,"Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
mysql tcp port,1,0,390,38,0.00,https://kinsta.com/blog/mysql-port/,156,0.23,0.00,0.33,101,"25, 25, 20, 31, 46, 16, 13, 5, 31, 16, 25, 16",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
err_connection_refused,4,4,4400,31,0.35,https://kinsta.com/blog/err_connection_refused/,154,0.22,53.00,0.03,20,"66, 54, 66, 54, 54, 54, 44, 44, 36, 36, 36, 36",2026-07-18,"Image pack, Sitelinks, People also ask, Related searches, AI overview",informational,Organic
err_http2_protocol_error,1,1,3600,31,0.55,https://kinsta.com/blog/err_http2_protocol_error/,147,0.21,80.00,0.01,20,"100, 81, 81, 81, 81, 100, 100, 65, 54, 54, 65, 81",2026-07-18,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
kinsta hosting plans,1,1,170,55,8.00,https://kinsta.com/pricing/,136,0.2,1088.00,0.33,86,"19, 23, 12, 12, 23, 19, 23, 23, 23, 23, 29, 36",2026-07-10,"Reviews, Video, People also ask, Related searches","informational, transactional",Organic
google search operators,5,5,5400,50,2.40,https://kinsta.com/blog/google-search-operators/,129,0.19,309.00,0.01,106,"36, 23, 66, 44, 44, 36, 100, 44, 36, 19, 13, 19",2026-07-18,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
http 302,7,7,5400,38,0.21,https://kinsta.com/blog/http-302/,129,0.19,27.00,0.01,39,"54, 66, 44, 66, 44, 66, 44, 36, 54, 44, 54, 54",2026-07-19,"People also ask, Related searches, AI overview",informational,Organic
find ubuntu version,3,3,2900,32,0.02,https://kinsta.com/blog/check-ubuntu-version/,127,0.18,2.00,0.33,97,"54, 66, 54, 24, 43, 54, 43, 36, 36, 36, 28, 43",2026-07-17,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
youtube error,4,4,3600,33,0.00,https://kinsta.com/blog/something-went-wrong-youtube/,126,0.18,0.00,0.33,9,"13, 29, 0, 29, 15, 100, 23, 36, 19, 81, 44, 1",2026-07-18,"Sitelinks, Reviews, People also ask, Related searches, AI overview",informational,Organic
error 410,1,1,1900,23,0.00,https://kinsta.com/blog/error-410/,125,0.18,0.00,0.33,107,"54, 44, 5, 54, 54, 0, 4, 35, 4, 19, 12, 10",2026-06-01,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
font style html,1,1,1900,59,1.50,https://kinsta.com/blog/html-fonts/,125,0.18,187.00,0.01,62,"82, 55, 65, 34, 82, 100, 55, 44, 65, 44, 44, 44",2026-07-17,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
410,1,1,18100,33,0.00,https://kinsta.com/blog/error-410/,125,0.18,0.00,0.33,129,"54, 81, 100, 54, 66, 66, 66, 66, 54, 66, 54, 66",2026-07-19,"Image pack, Video, Image, Video Carousel, People also ask, Things to know, AI overview",informational,AI overview
how to check ubuntu version,3,3,1900,20,0.02,https://kinsta.com/blog/check-ubuntu-version/,123,0.18,2.00,0.33,117,"19, 19, 23, 19, 23, 29, 19, 16, 19, 19, 16, 29",2026-07-15,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
see ubuntu version,2,2,1900,26,0.02,https://kinsta.com/blog/check-ubuntu-version/,123,0.18,2.00,0.33,130,"23, 23, 23, 23, 44, 12, 16, 4, 23, 29, 23, 8",2026-06-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
http error 401,4,4,5400,26,0.19,https://kinsta.com/blog/401-error/,118,0.17,22.00,0.03,126,"54, 54, 54, 54, 36, 36, 44, 44, 24, 66, 66, 81",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
browser extension for firefox,8,8,5400,75,2.21,https://kinsta.com/blog/firefox-extensions/,118,0.17,260.00,0.02,20,"100, 54, 0, 5, 44, 81, 0, 1, 1, 2, 2, 1",2026-07-20,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
err_address_unreachable,1,1,3600,37,0.71,https://kinsta.com/blog/this-site-cant-be-reached/,117,0.17,83.00,0.01,72,"81, 66, 66, 66, 81, 66, 66, 53, 44, 53, 66, 66",2026-07-17,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
inurl:operate,1,1,6600,40,0.00,https://kinsta.com/blog/google-search-operators/,115,0.16,0.00,0.33,1220000,"0, 0, 0, 0, 0, 36, 0, 100, 20, 29, 0, 36",2026-07-18,"Sitelinks, Reviews, Video, People also ask, AI overview",informational,People also ask
high ticket affiliate programs,1,1,1900,18,2.01,https://kinsta.com/affiliates/,115,0.16,231.00,0.49,96,"29, 18, 29, 29, 44, 53, 100, 35, 18, 10, 10, 16",2026-07-18,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
kinsta careers,1,1,140,18,0.00,https://kinsta.com/careers/,112,0.16,0.00,0.33,106,"23, 18, 28, 23, 23, 15, 15, 11, 28, 23, 28, 28",2026-07-11,"Sitelinks, Reviews, Jobs search, People also ask, Related searches",commercial,Organic
kinsta redis,1,1,140,26,0.00,https://kinsta.com/docs/wordpress-hosting/caching/redis-cache/,112,0.16,0.00,0.22,110,"16, 13, 8, 10, 10, 10, 10, 10, 8, 5, 6, 6",2026-07-02,"Sitelinks, Reviews, Video, Related searches","navigational, transactional",Organic
kinsta multisite,1,1,140,26,0.00,https://kinsta.com/wordpress-hosting/multisite/,112,0.16,0.00,0.08,105,"16, 16, 1, 1, 1, 1, 1, 1, 3, 0, 3, 3",2026-07-03,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
error http 451,4,4,4400,42,0.00,https://kinsta.com/blog/error-451/,105,0.15,0.00,0,108,"44, 44, 54, 29, 54, 36, 54, 54, 10, 44, 29, 29",2026-07-18,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
.co vs .com,3,3,2400,26,4.82,https://kinsta.com/blog/co-vs-com/,105,0.15,506.00,0.2,103,"66, 28, 81, 54, 66, 13, 10, 28, 43, 10, 13, 15",2026-07-18,"Sitelinks, Reviews, Video Carousel, People also ask, AI overview",commercial,Organic
err_timed_out,4,11,4400,26,0.56,https://kinsta.com/blog/err_connection_timed_out/,105,0.15,58.00,0.01,20,"81, 81, 81, 66, 66, 81, 66, 54, 54, 54, 43, 54",2026-07-22,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
this site can't be reached,5,5,5400,23,0.63,https://kinsta.com/blog/this-site-cant-be-reached/,102,0.15,64.00,0.02,5000000000,"81, 66, 100, 81, 81, 81, 54, 23, 44, 35, 35, 66",2026-07-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
google pagespeed insights,5,5,9900,76,3.91,https://kinsta.com/blog/google-pagespeed-insights/,99,0.14,387.00,0.13,102,"81, 81, 66, 81, 66, 66, 54, 66, 54, 66, 81, 100",2026-07-17,"Reviews, Video, Video Carousel, Related searches",informational,Organic
cloud based hosting services,1,0,880,81,10.65,https://kinsta.com/,98,0.14,1043.00,0.16,20,"44, 44, 11, 13, 7, 20, 11, 34, 24, 34, 65, 44",2026-07-23,"Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",AI overview
what is .io,5,5,4400,54,3.39,https://kinsta.com/blog/what-is-io/,96,0.14,325.00,0.07,103,"100, 81, 81, 66, 66, 44, 23, 23, 29, 35, 54, 35",2026-07-17,"Sitelinks, Reviews, Video Carousel, People also ask, AI overview",informational,Organic
ssl handshake failed error code 525,5,5,4400,16,0.00,https://kinsta.com/blog/ssl-handshake-failed/,96,0.14,0.00,0,42,"29, 36, 54, 54, 16, 54, 24, 44, 36, 54, 29, 54",2026-07-17,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
gitlab vs github,1,1,4400,32,2.08,https://kinsta.com/blog/gitlab-vs-github/,96,0.14,199.00,0.02,123,"44, 54, 44, 44, 54, 44, 44, 44, 44, 29, 66, 54",2026-07-18,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",commercial,People also ask
kinsta dns,1,1,110,22,20.00,https://kinsta.com/docs/wordpress-hosting/wordpress-domains/dns/,88,0.12,1760.00,0.25,41,"16, 20, 3, 2, 2, 3, 1, 2, 2, 4, 4, 4",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches","informational, navigational",Organic
kinsta woocommerce,1,1,110,46,9.45,https://kinsta.com/wordpress-hosting/woocommerce/,88,0.12,831.00,0.62,103,"4, 13, 20, 3, 3, 2, 1, 1, 1, 1, 3, 4",2026-06-09,"Sitelinks, Video, People also ask",informational,Organic
.net vs .com,5,5,3600,35,2.46,https://kinsta.com/blog/net-vs-com/,86,0.12,211.00,0.27,100,"100, 43, 66, 81, 54, 66, 24, 81, 28, 36, 54, 43",2026-07-20,"Sitelinks, Reviews, Video, People also ask, AI overview",commercial,Organic
error 402,4,4,3600,24,0.00,https://kinsta.com/blog/http-402/,86,0.12,0.00,0.33,19,"100, 81, 3, 36, 13, 44, 24, 36, 44, 36, 4, 7",2026-07-18,"Video, People also ask, Related searches, AI overview",informational,Organic
504 gateway time-out,8,8,4400,41,0.10,https://kinsta.com/blog/504-gateway-timeout/,83,0.12,8.00,0.04,47,"24, 16, 19, 100, 36, 44, 24, 54, 81, 44, 54, 44",2026-07-19,"Knowledge panel, People also ask, Related searches, AI overview",informational,Organic
google search commands,3,3,1900,65,0.00,https://kinsta.com/blog/google-search-operators/,83,0.12,0.00,0.33,133,"22, 29, 20, 43, 43, 54, 65, 100, 29, 43, 13, 13",2026-06-02,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cloudnestra.com sent an invalid response.,3,3,1900,23,0.00,https://kinsta.com/blog/err_ssl_protocol_error/,83,0.12,0.00,0,336,100,2026-06-25,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
302 found,8,8,4400,17,0.21,https://kinsta.com/blog/http-302/,83,0.12,17.00,0.01,19,"36, 44, 54, 44, 44, 66, 44, 19, 36, 44, 36, 36",2026-07-21,"Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
www.xnxx.com invalid response. err_ssl_protocol_error,2,2,1000,11,0.00,https://kinsta.com/blog/err_ssl_protocol_error/,82,0.12,0.00,0.33,64,"16, 8, 11, 52, 100, 100, 68, 68, 84, 68, 25, 13",2026-07-18,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
how to clear dns cache,6,6,3600,42,0.10,https://kinsta.com/blog/flush-dns/,79,0.11,7.00,0.03,20,"54, 66, 43, 54, 36, 100, 66, 43, 43, 36, 43, 36",2026-07-20,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
inurl:liked,1,1,3600,29,0.00,https://kinsta.com/blog/google-search-operators/,79,0.11,0.00,0.33,830000,"0, 0, 0, 0, 0, 0, 44, 81, 0, 81, 100, 81",2026-07-17,"Sitelinks, Video, People also ask, AI overview",informational,People also ask
error http 451 unavailable for legal reasons,1,1,2400,39,0.00,https://kinsta.com/blog/error-451/,78,0.11,0.00,0,106,"44, 66, 23, 100, 1, 0, 29, 0, 81, 0, 0, 0",2026-07-20,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,People also ask
temas,7,7,12100,100,3.49,https://kinsta.com/es/blog/que-es-un-tema-de-wordpress/,76,0.11,265.00,0.33,7,"36, 44, 36, 36, 81, 66, 66, 44, 44, 66, 66, 54",2026-07-17,"Image pack, People also ask, Related searches, AI overview",informational,Image pack
bing webmaster tools,8,8,12100,73,7.07,https://kinsta.com/blog/bing-webmaster-tools/,72,0.1,509.00,0.33,102,"66, 54, 54, 54, 66, 66, 66, 66, 81, 81, 100, 100",2026-07-22,"Reviews, Video, Related searches, AI overview",informational,Organic
kinsta outage,1,1,90,11,0.00,https://status.kinsta.com/,72,0.1,0.00,0.33,105,"2, 100, 2, 2, 2, 3, 2, 2, 3, 2, 5, 2",2026-07-14,"Sitelinks, Reviews, Related searches",navigational,Organic
joomla vs wordpress,6,11,8100,26,1.90,https://kinsta.com/blog/joomla-vs-wordpress/,72,0.1,136.00,0.12,114,"0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 100, 4",2026-07-22,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
error http 451 unavailable for legal reasons,4,4,2400,39,0.00,https://kinsta.com/blog/error-451/,72,0.1,0.00,0,106,"44, 66, 23, 100, 1, 0, 29, 0, 81, 0, 0, 0",2026-07-20,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
kinsta down,1,1,90,13,0.00,https://status.kinsta.com/,72,0.1,0.00,0.03,107,"2, 100, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2",2026-07-14,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
