Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
personalizewp.com,0.01,6,45,8,0.00,0
wpml.org,0.01,11,1373,4944,5823.00,2
wordpress.com,0.01,130,118787,548773,3191635.00,114
riverworksmarketing.com,0.01,10,750,1015,3470.00,0
crocoblock.com,0.01,54,10839,10576,28934.00,33
cylogy.com,0.01,8,437,60,342.00,0
wpmet.com,0.01,13,3816,1358,3367.00,0
wpmayor.com,0.01,23,4783,1504,6386.00,0
controlf5.in,0.01,11,773,86,79.00,0
simplystatic.com,0.01,13,1131,395,2475.00,0
loomo.ca,0.01,4,413,156,386.00,0
wpo365.com,0.01,6,195,121,596.00,0
developer.wordpress.com,0.01,12,1954,352,1952.00,0
getshieldsecurity.com,0.01,19,1517,457,783.00,0
rootscreative.co.uk,0.01,1,33,2,0.00,0
techbear.com,0.01,4,95,104,244.00,0
sitemap.io,0.01,3,70,19,53.00,0
fastcomet.com,0.01,21,4908,3582,7799.00,17
wpfarm.com,0.01,13,156,25,31.00,0
matomo.org,0.01,29,9848,23746,111482.00,28
localwp.com,0.01,18,2399,10026,42715.00,0
webhostingcat.com,0.01,8,1142,748,16454.00,0
miniorange.com,0.01,57,17159,15607,104381.00,43
objectstyle.com,0.01,4,714,233,2178.00,0
flowninja.com,0.01,12,2483,2341,10355.00,0
uxcam.com,0.01,36,8452,10957,66192.00,42
wpvswpe.report,0.01,7,27,32,592.00,0
elsner.com.au,0.01,12,342,81,379.00,0
perishablepress.com,0.01,8,2045,1540,696.00,0
classicpress.net,0.01,15,504,594,965.00,0
wpzoom.com,0.01,15,5809,1502,4583.00,51
thewp.world,0.01,13,290,1093,3598.00,0
clook.net,0.01,8,404,863,3056.00,0
jnextservices.com,0.01,3,243,15,43.00,0
lianatech.com,0.01,6,611,538,5800.00,0
convesio.com,0.01,8,5266,930,2344.00,62
thecode.co,0.01,6,280,63,467.00,0
smultron.software,0.01,5,79,1,0.00,0
headlesscoders.com,0.01,8,38,4,152.00,0
inspectwp.com,0.01,9,1011,1429,2420.00,0
americaneagle.com,0.01,83,29616,59002,507885.00,0
wpbrigade.com,0.01,10,881,131,1289.00,0
wpbeginner.com,0.01,100,54893,14887,95042.00,0
liquidweb.com,0.01,122,79810,61765,290182.00,2637
hammanitech.com,0.01,9,409,344,156.00,0
saucal.com,0.01,8,572,88,475.00,0
sanity.io,0.01,36,10742,17396,49983.00,116
acowebs.com,0.01,25,2152,618,722.00,0
dnsmadeeasy.com,0.01,25,6864,30839,26409.00,0
codeminers.co.uk,0.01,5,457,65,87.00,0
acquia.com,0.01,48,14892,107628,537043.00,455
crowdfavorite.com,0.01,9,184,181,412.00,0
skysilk.com,0.01,3,329,92,1085.00,0
fullstory.com,0.01,46,12452,57809,353808.00,403
ateam-oracle.com,0.01,17,1203,1039,4481.00,0
itmonks.com,0.01,8,1931,178,428.00,0
stateofdigitalpublishing.com,0.01,10,3937,1919,6164.00,0
icecubedigital.com,0.01,11,5377,392,2748.00,0
aprimo.com,0.01,15,3808,6968,47646.00,10
bootstrap.build,0.01,7,263,174,961.00,0
easydns.com,0.01,23,1694,4181,14829.00,0
kontra.agency,0.01,10,1312,593,1774.00,0
datocms.com,0.01,14,871,942,4793.00,0
optimizely.com,0.01,72,35233,380828,3423026.00,451
wp-staging.com,0.01,7,1143,310,1207.00,3
kinsta.com,0.01,181,62929,67700,230636.00,117
yoast.com,0.01,60,44867,186709,382469.00,74
storyblok.com,0.01,26,11658,18134,65042.00,94
wedevs.com,0.01,13,7033,2255,19931.00,0
rightpoint.com,0.01,9,2309,1429,9695.00,0
craftercms.com,0.01,10,772,705,2302.00,14
osdxp.org,0.01,3,9,16,0.00,0
ttl-calc.com,0.01,3,33,268,161.00,0
winwithoptimal.com,0.01,6,1134,4126,46632.00,0
airtrafficcontrol.io,0.01,4,39,4,0.00,0
wordzite.com,0.01,9,121,78,41.00,0
noptin.com,0.01,9,547,19,3.00,0
getdevdone.com,0.01,15,1451,1260,8692.00,0
objectcache.pro,0.01,7,58,184,460.00,0
vitaldesign.com,0.01,16,3858,4317,134331.00,110
bit-integrations.com,0.01,9,756,407,2272.00,0
creativethemes.com,0.01,14,4642,10219,38680.00,0
dchost.com,0.01,7,406,41,84.00,0
artversion.com,0.01,15,3680,3233,16432.00,0
exemplifi.io,0.01,9,681,489,1508.00,0
agilitycms.com,0.01,17,4137,1440,4017.00,104
wpshout.com,0.01,19,10688,1806,12494.00,0
assemblestudio.com,0.01,9,612,992,1646.00,0
jamstack.org,0.01,14,1589,3377,19028.00,0
wpgeodirectory.com,0.01,14,876,3488,6157.00,6
seedprod.com,0.01,35,10132,7302,28676.00,4
publishpress.com,0.01,12,927,956,2111.00,0
conversionwax.com,0.01,4,134,7,85.00,0
rivuletiq.com,0.01,12,82,137,63.00,0
ilyasmarketinghub.com,0.01,5,430,20,73.00,0
themeisle.com,0.01,59,32449,14400,77891.00,12
jahia.com,0.01,12,1308,894,4014.00,0
coredna.com,0.01,22,2798,1104,5393.00,0
wpgetapi.com,0.01,8,150,140,44.00,0
teamupdraft.com,0.01,22,4749,12146,41023.00,0
magnolia-cms.com,0.01,24,2338,2979,13975.00,198
wpbeaverbuilder.com,0.01,20,2907,7432,21070.00,22
buttercms.com,0.01,15,2276,1007,2603.00,1
wpenchant.com,0.01,5,172,50,351.00,0
electrickite.com,0.01,6,295,333,606.00,0
premmerce.com,0.01,1,249,10,27.00,0
wphostingbenchmarks.com,0.01,4,66,39,0.00,0
elcom.com.au,0.01,19,2741,2062,26792.00,0
ndevr.io,0.01,9,199,31,146.00,0
biglinden.com,0.01,7,682,10,59.00,0
emilyjourney.com,0.01,13,1427,2454,13249.00,0
knowledge-pillars.com,0.01,5,281,16925,113233.00,0
hygraph.com,0.01,30,6741,6552,30999.00,57
tosa.org,0.01,3,246,1439,769.00,0
infostride.com,0.01,2,1945,355,1693.00,0
wpbuffs.com,0.01,6,1879,1969,16917.00,0
infoverity.com,0.01,7,572,632,6084.00,0
wpnordic.com,0.01,9,85,47,78.00,0
cosmicjs.com,0.01,14,1978,3759,14180.00,0
instawp.com,0.01,30,6571,3254,6423.00,5
kanopi.com,0.01,20,2601,2169,17680.00,0
mvpdesign.com,0.01,5,633,279,861.00,0
wpdemo.net,0.01,11,618,160,462.00,0
drewl.com,0.01,3,243,81,2.00,0
wp-space.de,0.01,10,436,47,27.00,0
vipinsights.com,0.01,11,705,3295,14568.00,19
cminds.com,0.01,16,2147,447,799.00,0
businessdirectoryplugin.com,0.01,7,607,1306,2243.00,0
premiumpress.com,0.01,8,865,109,422.00,0
outfunnel.com,0.01,22,4120,2754,17984.00,19
personyze.com,0.01,6,350,565,3132.00,0
marceldigital.com,0.01,26,5519,12631,113985.00,6
webstacks.com,0.01,15,4715,1471,9436.00,431
holickycorporation.com,0.01,5,2892,673,4871.00,0
midnay.com,0.01,4,404,66,561.00,0
hivepress.io,0.01,11,1071,1352,4382.00,8
brandeploy.io,0,3,885,78,325.00,0
buddyboss.com,0,2,3302,5358,19002.00,35
astriata.com,0,1,168,216,552.00,0
acrolinx.com,0,6,1267,1222,8561.00,0
dotsquares.com,0,1,2351,3971,21990.00,128
apnic.net,0,7,4884,5710,6991.00,0
bayan-tech.com,0,1,3941,4994,5783.00,6
zen.agency,0,4,909,388,7608.00,0
coalitioninc.com,0,4,5952,16461,141697.00,0
sumble.com,0,5,147668,108135,425577.00,0
searchbloom.com,0,1,6546,12268,342720.00,0
vipm.io,0,1,274,309,370.00,0
filepuma.com,0,1,40678,4653,1599.00,0
facetwp.com,0,3,146,1171,3819.00,0
valleyforge.edu,0,1,1487,6904,47360.00,0
diamondsourceva.com,0,1,3555,1268,1495.00,0
stephenainsworth.com,0,1,3,47,163.00,0
feedthebot.org,0,1,2149,162,267.00,0
wpsiteplan.com,0,5,803,1116,12066.00,0
geeksforgeeks.org,0,26,2930772,6434784,12924867.00,0
facebook.com,0,208,578700287,1137124042,1374274315.00,8976
threads.com,0,3,4256347,7423019,2917905.00,0
fortnite.com,0,1,78594,3752771,3553491.00,0
economicdevelopmentcrm.com,0,1,42,7,98.00,0
discoverphl.com,0,1,33378,60882,55491.00,2
runxbuild.com,0,1,611,157,34.00,0
fastfwd.com,0,1,649,298,1558.00,0
secture.com,0,1,100,188,198.00,0
opslyft.com,0,2,499,31,116.00,0
coworker.ai,0,1,2391,3810,16899.00,30
cyberoptik.net,0,3,5177,695,2595.00,0
plausible.io,0,2,1922,9547,72068.00,0
websitesecuritystore.com,0,1,1073,117,113.00,0
usesophi.com,0,1,2,0,0.00,0
bloomerang.com,0,1,16346,44131,299969.00,157
factors.ai,0,4,9437,10579,116916.00,155
decodo.com,0,1,13086,12650,37494.00,405
webdevelopmentgroup.com,0,4,1532,319,759.00,0
sqlmanager.net,0,3,1083,499,2802.00,0
10web.io,0,16,34025,23508,65542.00,42
optixsolutions.co.uk,0,2,183,35,11.00,0
mit.edu,0,5,1491297,8248420,13450617.00,1433
shoplazza.com,0,1,3635,2770,6368.00,64
stackednotion.com,0,1,17,0,0.00,0
mattcromwell.com,0,1,62,7,0.00,0
karmadharma.ca,0,1,11,106,55.00,0
wpoven.com,0,5,7650,2001,2579.00,0
hostingjournalist.com,0,1,4075,427,868.00,0
presslabs.com,0,1,495,159,190.00,0
unitrends.com,0,1,4142,4037,44398.00,0
aws.dev,0,2,984,836,2198.00,0
document360.com,0,1,10073,16938,222632.00,514
siliconangle.com,0,1,39195,14042,36988.00,0
hushly.com,0,1,1202,431,3838.00,0
cbea.ms,0,2,115,136,0.00,0
wiley.com,0,1,1105360,1523234,2240935.00,858
visualvault.com,0,1,737,576,1315.00,57
buffaloamericas.com,0,1,5018,12505,10889.00,0
acclaim.agency,0,4,512,171,287.00,0
constantcontact.com,0,1,109941,420605,2858293.00,5136
enworld.org,0,1,126489,315786,61768.00,0
devopsschool.com,0,5,50383,9241,40078.00,0
translated.com,0,1,13121,51982,87466.00,1033
telerik.com,0,2,26926,57235,124496.00,204
simplilearn.com,0,14,183677,80987,312304.00,163
veerhost.com,0,1,652,29,260.00,0
beetlebeetle.com,0,1,1035,145,1095.00,0
gremlin.com,0,1,1064,974,2443.00,0
taxonomystrategies.com,0,1,302,596,250.00,0
epls.design,0,1,1,0,0.00,0
ninegravity.com,0,4,174,33,27.00,0
comcast.com,0,1,207032,1642039,17134706.00,5531
worldcc.com,0,1,448,578,1030.00,3
ostraining.com,0,2,2017,312,488.00,0
sfplugin.com,0,2,103,1,0.00,0
parsleyhealth.com,0,1,29924,58250,252688.00,26
sysaid.com,0,1,7220,217198,11842278.00,11
my.com,0,1,1395,6618,8243.00,0
zengrc.com,0,2,11582,7061,35876.00,67
nestify.io,0,2,10856,475,1394.00,0
milestoneinternet.com,0,1,9219,9355,35537.00,0
servebolt.com,0,8,1906,797,1617.00,45
docuxplorer.com,0,1,581,281,1311.00,0
thesaurus.com,0,1,3162641,22856855,9994419.00,0
aws.com,0,16,28546,39023,117742.00,3
escapecreative.io,0,2,799,112,149.00,0
idtech.com,0,1,26116,69725,127738.00,163
serpstat.com,0,1,18496,19312,69578.00,0
ourcodeworld.com,0,1,7150,2922,4215.00,0
zerooutages.com,0,1,44,35,79.00,0
aidigital.com,0,1,5731,8033,65650.00,0
dribbble.com,0,1,461284,1299186,2118958.00,1
iconicdigital.co.uk,0,1,902,269,508.00,0
chainaware.ai,0,1,98,33,25.00,0
wisc.edu,0,3,1296372,4000535,4461959.00,777
sophiie.ai,0,1,94,103,1496.00,0
seekahost.com,0,1,5734,4708,6906.00,0
seobility.net,0,7,39541,315555,1222426.00,0
scnsoft.com,0,4,40854,77838,1405954.00,23
altcraft.com,0,2,9254,3631,10398.00,0
jsonapi.org,0,1,914,2499,11274.00,0
loudcanvas.com,0,1,1671,1475,3601.00,0
appcues.com,0,1,5758,8247,57916.00,9
faq.wordpress.com,0,1,47,22,106.00,0
vipshop.com,0,2,63,277,128.00,0
baserow.io,0,8,7912,39695,194805.00,0
lazarusalliance.com,0,1,1585,408,1220.00,0
axerosolutions.com,0,1,5637,4363,41625.00,72
psdtohtmlninja.com,0,4,1145,673,972.00,0
peakrdl-regblock.readthedocs.io,0,1,6,5,2.00,0
bluetriangle.com,0,4,765,585,374.00,0
wpconsent.com,0,1,363,1640,8349.00,0
hellobaytree.com,0,1,8,1,0.00,0
rms.com,0,1,440,814,3438.00,0
modernsubaru.com,0,1,2236,5994,10991.00,0
shopversona.com,0,1,17390,78030,77679.00,0
ionos.com,0,32,246274,511871,679635.00,6033
dysautonomiainternational.org,0,1,8002,56533,29586.00,0
f5.com,0,7,52738,94134,529617.00,514
brandyhq.com,0,1,4972,11737,13212.00,0
viprogram.org,0,1,55,115,0.00,0
401games.ca,0,1,13911,3308,428.00,1
rsdelivers.com,0,1,16755,23162,21181.00,0
connectivelinkstechnology.com,0,1,33,29,76.00,0
dupuis.xyz,0,1,63,65,193.00,0
mimeo.com,0,3,4117,10440,28259.00,89
gitconnected.com,0,1,50610,23826,84221.00,0
elementthree.com,0,1,2213,1649,6040.00,0
slideshare.net,0,15,1734764,1235965,1039933.00,0
kogifi.com,0,3,700,715,293.00,0
infotekconsulting.net,0,1,111,503,1696.00,0
vipauto.com,0,1,24130,86171,68575.00,68
fabtechsystems.com,0,1,454,624,347.00,0
rackspace.com,0,4,29975,244127,1481146.00,874
sulu.io,0,2,118,127,364.00,0
columbus-aeo.com,0,1,34,8,0.00,0
heydingus.net,0,2,959,1114,205.00,0
routine-automation.com,0,3,3121,790,5136.00,0
uncinc.nl,0,1,40,9,6.00,0
visualstudio.com,0,3,143363,1062771,5503681.00,0
mcpmarket.com,0,1,50089,13591,44035.00,0
nansen.com,0,1,276,149,545.00,0
braintraffic.com,0,3,856,5749,23091.00,0
redis.io,0,4,24373,53124,171456.00,92
sec-consult.com,0,5,207,208,487.00,0
nosto.com,0,1,1353,1226,6862.00,5
ama.org,0,4,42151,480989,3202242.00,6
yanmar.com,0,1,13774,31335,35035.00,0
softonic.com,0,10,2784378,5224429,8815882.00,4127
register.domains,0,8,4603,3091,13233.00,219
vaplusvip.com,0,1,55,22,338.00,0
builtin.com,0,4,464483,657360,1930486.00,0
speakinginbytes.com,0,1,131,29,0.00,0
supporthost.com,0,11,9767,3878,9515.00,0
newmetrics.io,0,1,850,294,648.00,0
name.com,0,3,35003,116666,574322.00,344
sunarctechnologies.com,0,1,258,57,28.00,0
alcasthq.com,0,1,23793,46451,636.00,0
ec.europa.eu,0,2,270303,612788,859581.00,0
columnfivemedia.com,0,3,6384,39291,128855.00,0
101domain.com,0,3,9511,10424,23581.00,378
spotify.com,0,4,25180213,84038315,37205473.00,880
mentorcruise.com,0,5,23492,20022,85727.00,9
twipla.com,0,1,3104,651,1154.00,1
resonite.com,0,1,298,2034,180.00,0
451.com,0,1,30,43,128.00,0
wcupa.edu,0,1,57559,189684,72245.00,179
domyessay.com,0,1,13458,18570,26407.00,0
wholewhale.com,0,1,7993,4672,25755.00,0
slickplan.com,0,1,7414,6619,21156.00,7
axis.com,0,1,59138,175083,264912.00,112
solarwinds.com,0,1,63825,182422,2362767.00,2006
mementor.no,0,1,354,417,1129.00,0
riseuplabs.com,0,1,10210,9882,43990.00,0
webmobi.com,0,1,12009,534,792.00,0
snyk.io,0,2,30297,51467,371015.00,208
solidwp.com,0,3,258,293,708.00,0
publishgo.com,0,3,60,13,29.00,0
healthit.gov,0,1,24882,83462,335015.00,0
baxtersweb.com,0,1,28,2,6.00,0
attributedata.com,0,1,30,7,0.00,0
siteseo.io,0,1,192,344,3387.00,0
installatron.com,0,5,448,279,89.00,0
indiegraf.com,0,1,640,794,3013.00,0
happytowander.com,0,3,33757,122129,79848.00,0
unbrandedspace.com.au,0,1,13,0,0.00,0
kitplugins.com,0,1,153,424,124.00,0
securityweek.com,0,2,44064,135213,309891.00,0
next-cart.com,0,1,702,99,344.00,0
theme.co,0,1,4161,4510,3331.00,0
reqbin.com,0,1,10605,16888,37213.00,0
habilelabs.io,0,4,1140,224,866.00,0
thewordpress-expert.com,0,1,97,71,524.00,0
livingdocs.io,0,1,94,90,0.00,0
tutsplus.com,0,3,126155,128950,107714.00,0
directus.io,0,1,545,292,435.00,0
dazzlebirds.com,0,4,199,9,1.00,0
innowise.com,0,1,8575,7510,92544.00,13
quape.com,0,1,2042,246,923.00,1
informatica.com,0,4,28590,66238,436276.00,205
photobiz.com,0,1,2471,3710,7509.00,0
openviewpartners.com,0,1,4621,5489,17688.00,0
rierino.com,0,1,128,7,0.00,0
wp-support.com,0,2,226,68,381.00,0
bejamas.com,0,3,1924,2584,9756.00,0
smartwp.com,0,3,965,247,434.00,0
williamblair.com,0,1,6922,27784,82950.00,0
bui.app,0,1,18,14,13.00,0
memberful.com,0,1,1572,5476,10233.00,2
hackmd.io,0,1,38948,23330,26752.00,0
uga.edu,0,1,713859,2371853,4146347.00,58
dxptoolkit.com,0,1,23,0,0.00,0
noergia.com,0,1,116,38,130.00,0
artemis.marketing,0,1,1759,5478,3720.00,0
calchiefs.org,0,1,636,593,128.00,0
dbgate.io,0,1,584,508,1710.00,0
marketingbrew.com,0,2,9363,30498,101281.00,0
newsmediaalliance.org,0,1,2416,3710,3039.00,0
adido-digital.co.uk,0,2,394,418,870.00,0
perfmatters.io,0,1,382,518,735.00,6
i95business.com,0,1,3366,1241,2729.00,0
wprobo.com,0,2,139,233,4125.00,0
arlo.co,0,1,8391,4987,21623.00,56
productsup.com,0,1,5284,7524,57459.00,57
selectedfirms.co,0,1,20731,6497,31854.00,0
wordunscrambler.net,0,1,825063,741826,494173.00,0
hostgator.com,0,9,29474,92635,535023.00,286
buildableweb.com,0,2,623,2292,2878.00,0
toptal.com,0,13,78502,186162,1491112.00,3496
dockyard.com,0,1,617,872,1793.00,0
portalzine.de,0,1,518,191,906.00,0
wpsensi.com,0,2,13,1,19.00,0
getradish.com,0,1,35,1,0.00,0
bluecart.com,0,1,30634,28751,96386.00,0
bidvestdata.co.za,0,1,250,19,0.00,0
ecomone.com,0,1,219,87,669.00,0
sparringmind.com,0,2,1335,6411,4377.00,0
salesforce.com,0,54,776410,4103502,31305171.00,10989
querymonitor.com,0,4,22,8,48.00,0
example.com,0,5,15455,53636,764662.00,2078
n-ix.com,0,1,16789,10238,321048.00,613
automatedmarketer.net,0,1,141,25,324.00,1
poparide.com,0,1,1920,1032,346.00,0
nfina.com,0,6,3094,5074,14975.00,0
skillfloor.com,0,1,8113,1547,3590.00,0
uab.edu,0,3,317693,928435,769726.00,96
droplr.com,0,1,4946,1503,1070.00,32
audioplugin.deals,0,1,2086,4332,2610.00,2
gettyimages.com,0,2,12564367,27494124,5546522.00,0
vizion.com,0,1,3717,4197,61738.00,0
nexway.com,0,2,780,959,480.00,0
digitalassetmanagementnews.org,0,1,934,1438,7421.00,0
uxdesign.cc,0,1,29084,43178,58741.00,0
thefishsite.com,0,1,7873,4929,1917.00,0
controllo.ai,0,1,796,70,1876.00,0
clearvoice.com,0,1,14602,5425,9543.00,0
cheapsslshop.com,0,1,2275,163,730.00,34
megalinter.io,0,1,469,480,545.00,0
honestwebs.com,0,1,85,1,0.00,0
udemy.com,0,25,582286,829067,1530575.00,3797
getkard.com,0,1,881,1870,10760.00,0
mailchimp.com,0,50,204011,1508943,17534352.00,3103
wproads.com,0,2,69,3,2.00,0
headlesshost.com,0,1,4,0,0.00,0
greengeeks.com,0,35,23532,69050,625687.00,556
controlup.com,0,1,1953,3093,13401.00,160
vipclub.com.ar,0,1,60,301,422.00,0
service-now.com,0,1,185490,403568,463942.00,0
wholegraindigital.com,0,1,219,106,965.00,0
rudderstack.com,0,1,9329,21196,127431.00,380
wifitalents.com,0,1,154664,10544,28633.00,0
portal26.ai,0,2,227,221,2414.00,0
phpmyadmin.net,0,1,652,25843,109440.00,0
solvusoft.com,0,1,37347,9877,11966.00,0
stayarlington.com,0,1,24203,104543,78791.00,0
milesweb.ae,0,1,1792,163,604.00,0
ultida.com,0,1,1924,731,1292.00,0
theplusaddons.com,0,4,1984,1392,2083.00,0
coreui.io,0,1,18361,24407,58274.00,0
github.blog,0,5,23790,97099,170925.00,0
appliedi.net,0,1,1337,492,1152.00,0
rookmay.com,0,1,20,4,0.00,0
git-scm.com,0,2,45655,467653,1300408.00,0
culturefoundry.com,0,2,477,313,592.00,0
fareye.com,0,1,9394,5675,22042.00,49
paddle.com,0,2,24561,94675,364405.00,321
tagdatatrust.com,0,2,21,0,0.00,0
skillfulantics.com,0,1,90,22,55.00,0
stackoverflow.com,0,183,2035811,4826091,4122661.00,0
poststatus.com,0,1,443,662,406.00,0
integrately.com,0,4,13600,7254,24302.00,0
keends.com,0,1,3509,4199,17451.00,1
alphabold.com,0,1,3862,1518,16583.00,10
mangools.com,0,2,22800,64897,272634.00,48
sarahcordiner.com,0,1,432,48,66.00,0
syssy.net,0,1,92,20,0.00,0
example.com,0,2,4106,34709,310441.00,15
teamtreehouse.com,0,4,49267,34653,34234.00,2
vps.us,0,5,1000,613,2977.00,0
emplifi.io,0,1,6617,13780,28762.00,15
ionos.co.uk,0,1,6428,14096,12037.00,5
ucdavis.edu,0,3,1167190,4151417,5050586.00,575
wp.one,0,1,73,77,206.00,0
wppro.agency,0,2,87,4,0.00,0
statista.com,0,5,1184762,1292170,1975547.00,71
resellerclub.com,0,8,10366,8800,28565.00,28
nextiva.com,0,3,68862,182252,3171466.00,315
clay.com,0,2,59108,116509,436329.00,189
thislittlepiggy.marketing,0,1,13,14,0.00,0
platecms.com,0,2,94,27,0.00,0
joberty.com,0,1,3823,4618,2119.00,0
rebrandly.com,0,1,5091,15611,51675.00,20
luckyorange.com,0,1,1892,4023,128943.00,240
softwaretoolhouse.com,0,1,6,0,0.00,0
vremya-ch.com,0,2,6,0,0.00,0
thinkdox.com,0,2,230,15,137.00,0
bettersearchreplace.com,0,2,27,69,148.00,0
2fa.cn,0,2,672,30081,49290.00,0
kapwing.com,0,1,223056,750647,320254.00,0
hyperbound.ai,0,2,2334,3917,27745.00,74
chrischinchilla.com,0,1,610,2571,13757.00,0
icdsoft.com,0,4,2273,889,1801.00,0
heap.io,0,1,2302,7657,83518.00,745
wearewibble.com,0,2,299,122,117.00,0
jumpfactor.net,0,1,5688,4094,42190.00,168
digitalwebavenue.com,0,1,806,35,90.00,0
userp.io,0,1,4617,2468,32979.00,0
nexacu.com.au,0,2,1110,1887,2404.00,0
stackmatix.com,0,1,8515,5279,53620.00,0
awplife.com,0,1,2051,82,263.00,0
aaafund.org,0,1,66,137,632.00,0
getflywheel.com,0,7,1329,8014,102514.00,0
rmscloud.com,0,1,7338,4285,21941.00,5
